,xy,yz,xz
0,"[[-0.09143066  0.07324219]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [-0.02207031 -0.00195312]
 [-0.08066406  0.04296875]
 [-0.19394531  0.03320312]
 [-0.09143066  0.07128906]
 [-0.09143066  0.12011719]
 [-0.09143066  0.16699219]
 [-0.09143066  0.11816406]
 [-0.09143066  0.11621094]]","[[ 0.07324219  0.0357666 ]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [-0.00195312  0.0859375 ]
 [ 0.04296875 -0.02148438]
 [ 0.03320312 -0.01367188]
 [ 0.07128906 -0.02282715]
 [ 0.12011719  0.01037598]
 [ 0.16699219  0.06896973]
 [ 0.11816406  0.1451416 ]
 [ 0.11621094 -0.07751465]]","[[-0.09143066  0.0357666 ]
 [ 0.          0.        ]
 [ 0.          0.        ]
 [-0.02207031  0.0859375 ]
 [-0.08066406 -0.02148438]
 [-0.19394531 -0.01367188]
 [-0.09143066 -0.02282715]
 [-0.09143066  0.01037598]
 [-0.09143066  0.06896973]
 [-0.09143066  0.1451416 ]
 [-0.09143066 -0.07751465]]"
1,"[[-0.29238281  0.50244141]
 [-0.29042969  0.55517578]
 [-0.29042969  0.59814453]
 [-0.34707031  0.54541016]
 [-0.23769531  0.50634766]
 [-0.34707031  0.60009766]
 [-0.29238281  0.50244141]
 [-0.29042969  0.55517578]
 [-0.29042969  0.59814453]
 [-0.34707031  0.54541016]
 [-0.23769531  0.50634766]
 [-0.29238281  0.49267578]
 [-0.34707031  0.58447266]
 [-0.23574219  0.55517578]
 [-0.34707031  0.55908203]
 [-0.29238281  0.49267578]
 [-0.34707031  0.58447266]
 [-0.23574219  0.55517578]]","[[ 0.50244141  0.16240234]
 [ 0.55517578  0.10380859]
 [ 0.59814453  0.13896484]
 [ 0.54541016  0.21708984]
 [ 0.50634766  0.07451172]
 [ 0.60009766  0.12919922]
 [ 0.50244141  0.16240234]
 [ 0.55517578  0.10380859]
 [ 0.59814453  0.13896484]
 [ 0.54541016  0.21708984]
 [ 0.50634766  0.07451172]
 [ 0.49267578  0.24638672]
 [ 0.58447266  0.26591797]
 [ 0.55517578 -0.01923828]
 [ 0.55908203  0.01982422]
 [ 0.49267578  0.24638672]
 [ 0.58447266  0.26591797]
 [ 0.55517578 -0.01923828]]","[[-0.29238281  0.16240234]
 [-0.29042969  0.10380859]
 [-0.29042969  0.13896484]
 [-0.34707031  0.21708984]
 [-0.23769531  0.07451172]
 [-0.34707031  0.12919922]
 [-0.29238281  0.16240234]
 [-0.29042969  0.10380859]
 [-0.29042969  0.13896484]
 [-0.34707031  0.21708984]
 [-0.23769531  0.07451172]
 [-0.29238281  0.24638672]
 [-0.34707031  0.26591797]
 [-0.23574219 -0.01923828]
 [-0.34707031  0.01982422]
 [-0.29238281  0.24638672]
 [-0.34707031  0.26591797]
 [-0.23574219 -0.01923828]]"
2,"[[-0.03468117  0.19620988]
 [ 0.01805321  0.14738176]
 [ 0.01610008  0.10441301]
 [-0.03468117  0.15128801]
 [-0.03468117  0.10441301]
 [ 0.02000633  0.19425676]
 [ 0.07664696  0.23331926]
 [ 0.01610008  0.10441301]
 [-0.03468117  0.14542863]
 [ 0.02000633  0.19035051]
 [-0.03468117  0.05167863]
 [-0.14600929  0.24113176]]","[[ 0.19620988 -0.01483319]
 [ 0.14738176  0.03204181]
 [ 0.10441301 -0.07733319]
 [ 0.15128801 -0.10858319]
 [ 0.10441301 -0.05389569]
 [ 0.19425676  0.03204181]
 [ 0.23331926  0.08672931]
 [ 0.10441301 -0.05584882]
 [ 0.14542863  0.06133868]
 [ 0.19035051  0.06329181]
 [ 0.05167863  0.06329181]
 [ 0.24113176 -0.03045819]]","[[-0.03468117 -0.01483319]
 [ 0.01805321  0.03204181]
 [ 0.01610008 -0.07733319]
 [-0.03468117 -0.10858319]
 [-0.03468117 -0.05389569]
 [ 0.02000633  0.03204181]
 [ 0.07664696  0.08672931]
 [ 0.01610008 -0.05584882]
 [-0.03468117  0.06133868]
 [ 0.02000633  0.06329181]
 [-0.03468117  0.06329181]
 [-0.14600929 -0.03045819]]"
3,"[[0.12070312 0.19886719]
 [0.12851562 0.24769531]
 [0.134375   0.29652344]
 [0.18487549 0.11621094]
 [0.03671875 0.35707031]
 [0.071875   0.21449219]
 [0.12851562 0.25746094]
 [0.134375   0.30433594]
 [0.1421875  0.34730469]
 [0.071875   0.19691406]
 [0.12851562 0.23792969]
 [0.134375   0.28480469]
 [0.08945312 0.34925781]
 [0.12070312 0.17738281]
 [0.07773437 0.23402344]]","[[0.19886719 0.305     ]
 [0.24769531 0.28546875]
 [0.29652344 0.26203125]
 [0.11621094 0.33734131]
 [0.35707031 0.258125  ]
 [0.21449219 0.2346875 ]
 [0.25746094 0.2034375 ]
 [0.30433594 0.17023437]
 [0.34730469 0.23273437]
 [0.19691406 0.351875  ]
 [0.23792969 0.34796875]
 [0.28480469 0.35382812]
 [0.34925781 0.28546875]
 [0.17738281 0.41632812]
 [0.23402344 0.40460937]]","[[0.12070312 0.305     ]
 [0.12851562 0.28546875]
 [0.134375   0.26203125]
 [0.18487549 0.33734131]
 [0.03671875 0.258125  ]
 [0.071875   0.2346875 ]
 [0.12851562 0.2034375 ]
 [0.134375   0.17023437]
 [0.1421875  0.23273437]
 [0.071875   0.351875  ]
 [0.12851562 0.34796875]
 [0.134375   0.35382812]
 [0.08945312 0.28546875]
 [0.12070312 0.41632812]
 [0.07773437 0.40460937]]"
4,"[[ 0.05895996  0.07000732]
 [ 0.01013184  0.12860107]
 [ 0.05895996  0.07000732]
 [ 0.11755371  0.11688232]
 [ 0.06872559  0.16375732]
 [ 0.00427246  0.03289795]
 [ 0.06286621  0.1149292 ]
 [ 0.05895996  0.07977295]
 [ 0.05505371  0.02313232]
 [ 0.06286621  0.12469482]
 [ 0.12341309  0.1618042 ]
 [ 0.03552246 -0.00280762]
 [ 0.03552246 -0.02038574]]","[[ 0.07000732 -0.03741455]
 [ 0.12860107 -0.12921143]
 [ 0.07000732 -0.05303955]
 [ 0.11688232 -0.10968018]
 [ 0.16375732 -0.04327393]
 [ 0.03289795 -0.10968018]
 [ 0.1149292  -0.02178955]
 [ 0.07977295 -0.21905518]
 [ 0.02313232 -0.0491333 ]
 [ 0.12469482 -0.15460205]
 [ 0.1618042  -0.09210205]
 [-0.00280762 -0.15185547]
 [-0.02038574  0.03369141]]","[[ 0.05895996 -0.03741455]
 [ 0.01013184 -0.12921143]
 [ 0.05895996 -0.05303955]
 [ 0.11755371 -0.10968018]
 [ 0.06872559 -0.04327393]
 [ 0.00427246 -0.10968018]
 [ 0.06286621 -0.02178955]
 [ 0.05895996 -0.21905518]
 [ 0.05505371 -0.0491333 ]
 [ 0.06286621 -0.15460205]
 [ 0.12341309 -0.09210205]
 [ 0.03552246 -0.15185547]
 [ 0.03552246  0.03369141]]"
5,"[[ 0.06158088  0.03929228]
 [ 0.05767463 -0.0134421 ]
 [ 0.06158088  0.0334329 ]
 [ 0.01275276  0.0881204 ]
 [ 0.00884651  0.02952665]
 [ 0.01918658 -0.03929228]
 [ 0.02113971  0.0056296 ]
 [ 0.02504596  0.05445772]
 [-0.02111816 -0.09460449]
 [-0.07385254  0.11828613]
 [ 0.02966309 -0.10632324]
 [ 0.03161621 -0.05749512]
 [ 0.01275276  0.09202665]
 [ 0.12603401  0.12522978]
 [-0.04584099 -0.0134421 ]
 [ 0.01275276  0.07444853]
 [ 0.01918658 -0.0412454 ]
 [-0.03159467  0.00758272]
 [-0.03354779 -0.0412454 ]]","[[ 0.03929228 -0.02320772]
 [-0.0134421   0.04515165]
 [ 0.0334329   0.04710478]
 [ 0.0881204   0.01976103]
 [ 0.02952665  0.11351103]
 [-0.03929228  0.10179228]
 [ 0.0056296   0.1271829 ]
 [ 0.05445772  0.09007353]
 [-0.09460449  0.17236328]
 [ 0.11828613  0.07861328]
 [-0.10632324 -0.02880859]
 [-0.05749512 -0.03857422]
 [ 0.09202665 -0.0446921 ]
 [ 0.12522978  0.0099954 ]
 [-0.0134421   0.10569853]
 [ 0.07444853  0.12913603]
 [-0.0412454  -0.05641085]
 [ 0.00758272 -0.07203585]
 [-0.0412454   0.1662454 ]]","[[ 0.06158088 -0.02320772]
 [ 0.05767463  0.04515165]
 [ 0.06158088  0.04710478]
 [ 0.01275276  0.01976103]
 [ 0.00884651  0.11351103]
 [ 0.01918658  0.10179228]
 [ 0.02113971  0.1271829 ]
 [ 0.02504596  0.09007353]
 [-0.02111816  0.17236328]
 [-0.07385254  0.07861328]
 [ 0.02966309 -0.02880859]
 [ 0.03161621 -0.03857422]
 [ 0.01275276 -0.0446921 ]
 [ 0.12603401  0.0099954 ]
 [-0.04584099  0.10569853]
 [ 0.01275276  0.12913603]
 [ 0.01918658 -0.05641085]
 [-0.03159467 -0.07203585]
 [-0.03354779  0.1662454 ]]"
6,"[[ 0.02113971 -0.0021829 ]
 [ 0.02504596  0.04078585]
 [ 0.07387408  0.00172335]
 [-0.04342831 -0.06066176]
 [-0.04147518  0.00574449]
 [ 0.00930607 -0.04894301]
 [ 0.01125919 -0.00792739]
 [ 0.06789982  0.03113511]
 [ 0.00930607 -0.05675551]
 [-0.04147518 -0.02159926]
 [ 0.01516544  0.02527574]
 [ 0.01125919  0.00574449]
 [ 0.01516544  0.05261949]
 [ 0.01035156 -0.06347656]
 [ 0.01425781 -0.03417969]
 [ 0.01816406  0.00097656]
 [-0.03847656 -0.05761719]
 [ 0.06699219  0.00878906]
 [-0.03159467  0.00172335]
 [-0.02964154  0.0525046 ]
 [ 0.06996783 -0.04515165]
 [ 0.07778033  0.04664522]
 [-0.03952206  0.05261949]
 [-0.03756893  0.07996324]
 [ 0.01125919  0.00574449]
 [ 0.06789982  0.04871324]
 [ 0.06008732 -0.04503676]
 [-0.03756893  0.10144761]
 [-0.03261719  0.03417969]
 [-0.03457031 -0.02636719]
 [ 0.01035156 -0.02832031]]","[[-0.0021829  -0.14820772]
 [ 0.04078585 -0.18727022]
 [ 0.00172335 -0.0681296 ]
 [-0.06066176  0.07674632]
 [ 0.00574449 -0.0892693 ]
 [-0.04894301 -0.01700368]
 [-0.00792739  0.02205882]
 [ 0.03113511  0.0513557 ]
 [-0.05675551  0.03963695]
 [-0.02159926  0.12557445]
 [ 0.02527574  0.1138557 ]
 [ 0.00574449 -0.18887868]
 [ 0.05261949 -0.14590993]
 [-0.06347656 -0.00273438]
 [-0.03417969  0.07148437]
 [ 0.00097656  0.11640625]
 [-0.05761719  0.16328125]
 [ 0.00878906 -0.1921875 ]
 [ 0.00172335  0.20726103]
 [ 0.0525046   0.17601103]
 [-0.04515165 -0.04859835]
 [ 0.04664522 -0.09742647]
 [ 0.05261949 -0.08536305]
 [ 0.07996324  0.08455882]
 [ 0.00574449 -0.22403493]
 [ 0.04871324 -0.22403493]
 [-0.04503676 -0.25723805]
 [ 0.10144761 -0.11661305]
 [ 0.03417969  0.18671875]
 [-0.02636719  0.21796875]
 [-0.02832031 -0.24296875]]","[[ 0.02113971 -0.14820772]
 [ 0.02504596 -0.18727022]
 [ 0.07387408 -0.0681296 ]
 [-0.04342831  0.07674632]
 [-0.04147518 -0.0892693 ]
 [ 0.00930607 -0.01700368]
 [ 0.01125919  0.02205882]
 [ 0.06789982  0.0513557 ]
 [ 0.00930607  0.03963695]
 [-0.04147518  0.12557445]
 [ 0.01516544  0.1138557 ]
 [ 0.01125919 -0.18887868]
 [ 0.01516544 -0.14590993]
 [ 0.01035156 -0.00273438]
 [ 0.01425781  0.07148437]
 [ 0.01816406  0.11640625]
 [-0.03847656  0.16328125]
 [ 0.06699219 -0.1921875 ]
 [-0.03159467  0.20726103]
 [-0.02964154  0.17601103]
 [ 0.06996783 -0.04859835]
 [ 0.07778033 -0.09742647]
 [-0.03952206 -0.08536305]
 [-0.03756893  0.08455882]
 [ 0.01125919 -0.22403493]
 [ 0.06789982 -0.22403493]
 [ 0.06008732 -0.25723805]
 [-0.03756893 -0.11661305]
 [-0.03261719  0.18671875]
 [-0.03457031  0.21796875]
 [ 0.01035156 -0.24296875]]"
7,"[[-0.03261719  0.10644531]
 [-0.03776042 -0.03971354]
 [ 0.01692708  0.00130208]
 [ 0.02083333  0.05208333]
 [-0.00130208  0.02083333]
 [ 0.06269531 -0.03652344]
 [ 0.00996094 -0.03457031]
 [ 0.06269531 -0.03457031]
 [ 0.01386719  0.01621094]
 [ 0.01582031  0.06308594]
 [ 0.01917614  0.0456321 ]
 [ 0.02308239  0.0925071 ]
 [ 0.01722301 -0.01296165]
 [ 0.01917614  0.0300071 ]
 [-0.03160511  0.07883523]
 [ 0.01816406  0.05957031]
 [ 0.02083333  0.02473958]
 [ 0.01692708  0.00325521]
 [ 0.05533854  0.06380208]
 [ 0.00800781 -0.08144531]
 [-0.04082031  0.02011719]
 [-0.09550781  0.05917969]
 [-0.09550781  0.10996094]
 [ 0.05878906 -0.08144531]
 [ 0.01722301 -0.0012429 ]
 [ 0.02503551  0.1393821 ]
 [-0.02965199  0.18821023]
 [-0.02965199  0.11789773]
 [-0.03355824  0.01633523]
 [-0.03160511  0.07297585]]","[[ 0.10644531 -0.14140625]
 [-0.03971354  0.04361979]
 [ 0.00130208  0.07682292]
 [ 0.05208333 -0.06966146]
 [ 0.02083333  0.13867188]
 [-0.03652344  0.07265625]
 [-0.03457031  0.13125   ]
 [-0.03457031  0.03164062]
 [ 0.01621094 -0.02695313]
 [ 0.06308594 -0.0015625 ]
 [ 0.0456321  -0.08043324]
 [ 0.0925071  -0.08433949]
 [-0.01296165  0.11487926]
 [ 0.0300071   0.15198864]
 [ 0.07883523  0.15589489]
 [ 0.05957031 -0.1765625 ]
 [ 0.02473958  0.27213542]
 [ 0.00325521 -0.14778646]
 [ 0.06380208  0.15234375]
 [-0.08144531  0.13125   ]
 [ 0.02011719 -0.03476563]
 [ 0.05917969 -0.1734375 ]
 [ 0.10996094 -0.13828125]
 [-0.08144531  0.00820313]
 [-0.0012429  -0.14879261]
 [ 0.1393821  -0.07457386]
 [ 0.18821023 -0.15465199]
 [ 0.11789773  0.21058239]
 [ 0.01633523  0.24964489]
 [ 0.07297585  0.20276989]]","[[-0.03261719 -0.14140625]
 [-0.03776042  0.04361979]
 [ 0.01692708  0.07682292]
 [ 0.02083333 -0.06966146]
 [-0.00130208  0.13867188]
 [ 0.06269531  0.07265625]
 [ 0.00996094  0.13125   ]
 [ 0.06269531  0.03164062]
 [ 0.01386719 -0.02695313]
 [ 0.01582031 -0.0015625 ]
 [ 0.01917614 -0.08043324]
 [ 0.02308239 -0.08433949]
 [ 0.01722301  0.11487926]
 [ 0.01917614  0.15198864]
 [-0.03160511  0.15589489]
 [ 0.01816406 -0.1765625 ]
 [ 0.02083333  0.27213542]
 [ 0.01692708 -0.14778646]
 [ 0.05533854  0.15234375]
 [ 0.00800781  0.13125   ]
 [-0.04082031 -0.03476563]
 [-0.09550781 -0.1734375 ]
 [-0.09550781 -0.13828125]
 [ 0.05878906  0.00820313]
 [ 0.01722301 -0.14879261]
 [ 0.02503551 -0.07457386]
 [-0.02965199 -0.15465199]
 [-0.02965199  0.21058239]
 [-0.03355824  0.24964489]
 [-0.03160511  0.20276989]]"
8,"[[ 2.30823864e-02  7.88352273e-02]
 [ 2.50355114e-02  1.33522727e-01]
 [ 1.91761364e-02  4.36789773e-02]
 [ 2.30823864e-02  9.05539773e-02]
 [ 2.26702009e-02  7.74274554e-03]
 [ 7.73577009e-02  5.65708705e-02]
 [ 8.12639509e-02  9.17271205e-02]
 [ 7.54045759e-02 -6.97544643e-05]
 [ 7.73577009e-02  5.26646205e-02]
 [ 8.12639509e-02  1.01492746e-01]
 [ 1.72230114e-02 -2.46803977e-02]
 [ 7.19105114e-02  2.21946023e-02]
 [ 1.72230114e-02 -1.24289773e-03]
 [ 2.50355114e-02  1.39382102e-01]
 [-2.81110491e-02  1.54227121e-01]
 [ 2.26702009e-02 -3.71791295e-02]
 [ 7.54045759e-02 -1.17885045e-02]
 [ 1.30092076e-01  3.70396205e-02]
 [ 1.39857701e-01  1.38602121e-01]
 [ 2.85295759e-02  1.52273996e-01]]","[[ 7.88352273e-02 -3.05042614e-01]
 [ 1.33522727e-01 -2.24964489e-01]
 [ 4.36789773e-02 -1.70276989e-01]
 [ 9.05539773e-02 -1.66370739e-01]
 [ 7.74274554e-03 -2.26981027e-01]
 [ 5.65708705e-02 -1.64481027e-01]
 [ 9.17271205e-02 -2.89481027e-01]
 [-6.97544643e-05 -2.71902902e-01]
 [ 5.26646205e-02 -2.19168527e-01]
 [ 1.01492746e-01 -1.74246652e-01]
 [-2.46803977e-02 -3.67542614e-01]
 [ 2.21946023e-02 -3.40198864e-01]
 [-1.24289773e-03 -1.60511364e-01]
 [ 1.39382102e-01 -1.19495739e-01]
 [ 1.54227121e-01 -1.37137277e-01]
 [-3.71791295e-02 -1.97684152e-01]
 [-1.17885045e-02 -3.57840402e-01]
 [ 3.70396205e-02 -3.24637277e-01]
 [ 1.38602121e-01 -2.50418527e-01]
 [ 1.52273996e-01 -1.25418527e-01]]","[[ 0.02308239 -0.30504261]
 [ 0.02503551 -0.22496449]
 [ 0.01917614 -0.17027699]
 [ 0.02308239 -0.16637074]
 [ 0.0226702  -0.22698103]
 [ 0.0773577  -0.16448103]
 [ 0.08126395 -0.28948103]
 [ 0.07540458 -0.2719029 ]
 [ 0.0773577  -0.21916853]
 [ 0.08126395 -0.17424665]
 [ 0.01722301 -0.36754261]
 [ 0.07191051 -0.34019886]
 [ 0.01722301 -0.16051136]
 [ 0.02503551 -0.11949574]
 [-0.02811105 -0.13713728]
 [ 0.0226702  -0.19768415]
 [ 0.07540458 -0.3578404 ]
 [ 0.13009208 -0.32463728]
 [ 0.1398577  -0.25041853]
 [ 0.02852958 -0.12541853]]"
9,"[[ 0.03125     0.05013021]
 [-0.03125    -0.03776042]
 [ 0.01132813 -0.02382813]
 [ 0.02539062 -0.00260417]
 [-0.02734375  0.01497396]
 [ 0.01328125  0.06796875]
 [-0.04335937  0.02109375]
 [-0.02172852 -0.02978516]
 [-0.01977539  0.02099609]
 [-0.01782227  0.06591797]
 [ 0.02905273 -0.06103516]
 [ 0.03100586 -0.01416016]]","[[ 0.05013021  0.00878906]
 [-0.03776042  0.00292969]
 [-0.02382813  0.02265625]
 [-0.00260417  0.05566406]
 [ 0.01497396 -0.08496094]
 [ 0.06796875  0.08710938]
 [ 0.02109375 -0.06914062]
 [-0.02978516  0.10083008]
 [ 0.02099609  0.07543945]
 [ 0.06591797  0.09106445]
 [-0.06103516 -0.06713867]
 [-0.01416016 -0.08666992]]","[[ 0.03125     0.00878906]
 [-0.03125     0.00292969]
 [ 0.01132813  0.02265625]
 [ 0.02539062  0.05566406]
 [-0.02734375 -0.08496094]
 [ 0.01328125  0.08710938]
 [-0.04335937 -0.06914062]
 [-0.02172852  0.10083008]
 [-0.01977539  0.07543945]
 [-0.01782227  0.09106445]
 [ 0.02905273 -0.06713867]
 [ 0.03100586 -0.08666992]]"
