,xy,yz,xz
0,"[[-0.02360026 -0.0953776 ]
 [-0.02360026 -0.01920573]
 [-0.02360026 -0.0953776 ]
 [-0.02360026 -0.01920573]
 [-0.04264323 -0.10302734]
 [ 0.31038411  0.11751302]
 [ 0.32014974  0.16829427]
 [ 0.32014974  0.16634115]
 [ 0.31038411  0.11751302]
 [ 0.32014974  0.16829427]
 [ 0.32014974  0.16634115]
 [-0.30875651  0.04134115]
 [-0.30875651  0.0061849 ]
 [-0.30875651  0.04134115]
 [-0.30875651  0.0061849 ]
 [ 0.          0.        ]
 [ 0.03515625 -0.03776042]
 [-0.01757812  0.01497396]]","[[-0.0953776   0.70686849]
 [-0.01920573  0.65022786]
 [-0.0953776   0.70686849]
 [-0.01920573  0.65022786]
 [-0.10302734  0.66715495]
 [ 0.11751302  0.15999349]
 [ 0.16829427  0.09944661]
 [ 0.16634115  0.12679036]
 [ 0.11751302  0.15999349]
 [ 0.16829427  0.09944661]
 [ 0.16634115  0.12679036]
 [ 0.04134115 -0.70524089]
 [ 0.0061849  -0.78336589]
 [ 0.04134115 -0.70524089]
 [ 0.0061849  -0.78336589]
 [ 0.          0.        ]
 [-0.03776042  0.11263021]
 [ 0.01497396  0.07161458]]","[[-0.02360026  0.70686849]
 [-0.02360026  0.65022786]
 [-0.02360026  0.70686849]
 [-0.02360026  0.65022786]
 [-0.04264323  0.66715495]
 [ 0.31038411  0.15999349]
 [ 0.32014974  0.09944661]
 [ 0.32014974  0.12679036]
 [ 0.31038411  0.15999349]
 [ 0.32014974  0.09944661]
 [ 0.32014974  0.12679036]
 [-0.30875651 -0.70524089]
 [-0.30875651 -0.78336589]
 [-0.30875651 -0.70524089]
 [-0.30875651 -0.78336589]
 [ 0.          0.        ]
 [ 0.03515625  0.11263021]
 [-0.01757812  0.07161458]]"
1,"[[-0.0406901   0.09619141]
 [-0.0953776   0.15478516]
 [-0.05392795 -0.00878906]
 [ 0.00075955  0.03222656]
 [-0.0500217   0.10253906]
 [-0.05392795 -0.01855469]
 [ 0.00075955  0.01269531]
 [ 0.0046658   0.06347656]
 [ 0.00661892  0.13378906]
 [ 0.00075955  0.05371094]
 [ 0.05740017  0.08886719]
 [-0.01612903  0.17792339]
 [-0.01222278  0.24432964]
 [ 0.10105847  0.28143901]
 [-0.0953776   0.13134766]
 [ 0.10105847  0.27362651]
 [-0.0953776   0.05712891]
 [-0.21061198  0.07080078]
 [ 0.0046658  -0.00097656]
 [ 0.03269909  0.06268901]
 [-0.01808216  0.09003276]
 [-0.06886341  0.14472026]
 [-0.12159778  0.18182964]
 [-0.12159778  0.09979839]
 [-0.12159778  0.12909526]
 [ 0.00075955 -0.04003906]]","[[ 0.09619141  0.26676432]
 [ 0.15478516  0.2257487 ]
 [-0.00878906  0.18652344]
 [ 0.03222656  0.20996094]
 [ 0.10253906  0.09667969]
 [-0.01855469  0.22753906]
 [ 0.01269531  0.28808594]
 [ 0.06347656  0.27832031]
 [ 0.13378906  0.18066406]
 [ 0.05371094  0.09277344]
 [ 0.08886719  0.13964844]
 [ 0.17792339  0.3015373 ]
 [ 0.24432964  0.17263105]
 [ 0.28143901  0.1609123 ]
 [ 0.13134766  0.0694987 ]
 [ 0.27362651  0.23513105]
 [ 0.05712891  0.41129557]
 [ 0.07080078  0.62613932]
 [-0.00097656  0.47558594]
 [ 0.06268901  0.53200605]
 [ 0.09003276  0.45974042]
 [ 0.14472026  0.44606855]
 [ 0.18182964  0.49294355]
 [ 0.09979839  0.58669355]
 [ 0.12909526  0.63942792]
 [-0.04003906  0.44824219]]","[[-0.0406901   0.26676432]
 [-0.0953776   0.2257487 ]
 [-0.05392795  0.18652344]
 [ 0.00075955  0.20996094]
 [-0.0500217   0.09667969]
 [-0.05392795  0.22753906]
 [ 0.00075955  0.28808594]
 [ 0.0046658   0.27832031]
 [ 0.00661892  0.18066406]
 [ 0.00075955  0.09277344]
 [ 0.05740017  0.13964844]
 [-0.01612903  0.3015373 ]
 [-0.01222278  0.17263105]
 [ 0.10105847  0.1609123 ]
 [-0.0953776   0.0694987 ]
 [ 0.10105847  0.23513105]
 [-0.0953776   0.41129557]
 [-0.21061198  0.62613932]
 [ 0.0046658   0.47558594]
 [ 0.03269909  0.53200605]
 [-0.01808216  0.45974042]
 [-0.06886341  0.44606855]
 [-0.12159778  0.49294355]
 [-0.12159778  0.58669355]
 [-0.12159778  0.63942792]
 [ 0.00075955  0.44824219]]"
2,"[[ 0.14988659  0.23261089]
 [ 0.21238659  0.25995464]
 [ 0.27879284  0.29315776]
 [ 0.20457409  0.22479839]
 [ 0.26902722  0.25800151]
 [ 0.22215222  0.31464214]
 [ 0.17137097  0.37128276]
 [ 0.22996472  0.35370464]
 [ 0.07817779  0.36296453]
 [ 0.08989654  0.4156989 ]
 [-0.01557221  0.4860114 ]
 [ 0.02544341  0.3844489 ]
 [ 0.03325591  0.43327703]
 [ 0.09966216  0.46062078]
 [ 0.16355847  0.33026714]
 [-0.12885346  0.5016364 ]
 [-0.19721284  0.30437078]
 [-0.08979096  0.34733953]
 [-0.02924409  0.39421453]
 [-0.14643159  0.30827703]
 [-0.08979096  0.34929265]
 [-0.08393159  0.40593328]
 [-0.08393159  0.39812078]
 [-0.14252534  0.33366765]
 [ 0.75395904 -1.31476985]
 [ 0.78520904 -1.31476985]
 [ 0.81255279 -1.31476985]]","[[ 0.23261089 -0.14768145]
 [ 0.25995464 -0.23361895]
 [ 0.29315776 -0.24729083]
 [ 0.22479839 -0.1125252 ]
 [ 0.25800151 -0.13205645]
 [ 0.31464214 -0.15744708]
 [ 0.37128276 -0.1437752 ]
 [ 0.35370464 -0.22775958]
 [ 0.36296453 -0.08662373]
 [ 0.4156989  -0.01631123]
 [ 0.4860114   0.01884502]
 [ 0.3844489   0.02665752]
 [ 0.43327703  0.05986064]
 [ 0.46062078 -0.02607686]
 [ 0.33026714  0.00661542]
 [ 0.5016364   0.01493877]
 [ 0.30437078  0.39189189]
 [ 0.34733953  0.34111064]
 [ 0.39421453  0.26103252]
 [ 0.30827703  0.32939189]
 [ 0.34929265  0.32548564]
 [ 0.40593328  0.18290752]
 [ 0.39812078  0.30204814]
 [ 0.33366765  0.47001689]
 [-1.31476985 -1.44990498]
 [-1.31476985 -1.38154561]
 [-1.31476985 -1.48115498]]","[[ 0.14988659 -0.14768145]
 [ 0.21238659 -0.23361895]
 [ 0.27879284 -0.24729083]
 [ 0.20457409 -0.1125252 ]
 [ 0.26902722 -0.13205645]
 [ 0.22215222 -0.15744708]
 [ 0.17137097 -0.1437752 ]
 [ 0.22996472 -0.22775958]
 [ 0.07817779 -0.08662373]
 [ 0.08989654 -0.01631123]
 [-0.01557221  0.01884502]
 [ 0.02544341  0.02665752]
 [ 0.03325591  0.05986064]
 [ 0.09966216 -0.02607686]
 [ 0.16355847  0.00661542]
 [-0.12885346  0.01493877]
 [-0.19721284  0.39189189]
 [-0.08979096  0.34111064]
 [-0.02924409  0.26103252]
 [-0.14643159  0.32939189]
 [-0.08979096  0.32548564]
 [-0.08393159  0.18290752]
 [-0.08393159  0.30204814]
 [-0.14252534  0.47001689]
 [ 0.75395904 -1.44990498]
 [ 0.78520904 -1.38154561]
 [ 0.81255279 -1.48115498]]"
3,"[[-0.02420847 -0.0416838 ]
 [ 0.03047903  0.04620683]
 [ 0.02657278 -0.04363692]
 [ 0.03047903 -0.0104338 ]
 [ 0.03438528  0.06573808]
 [-0.01639597  0.1614412 ]
 [-0.07108347  0.2083162 ]
 [ 0.03047903 -0.05144942]
 [ 0.03438528  0.03253495]
 [-0.01639597  0.13409745]
 [-0.01248972  0.21417558]
 [ 0.09493215  0.18292558]
 [ 0.0441509   0.23565995]
 [ 0.04805715  0.28253495]
 [ 0.04805715  0.28058183]
 [ 0.0519634   0.32940995]
 [ 0.05782278  0.3723787 ]
 [ 0.08907278  0.1301912 ]
 [ 0.11251028  0.32355058]
 [ 0.16524465  0.25909745]
 [ 0.18868215  0.07355058]
 [ 0.19844778  0.11847245]
 [ 0.2629009   0.14972245]
 [ 0.15743215  0.2161287 ]
 [ 0.24141653  0.06378495]
 [ 0.25118215  0.11065995]
 [ 0.2629009   0.1536287 ]
 [ 0.11251028  0.3098787 ]
 [ 0.27266653  0.18292558]
 [-0.15181588  0.30996622]
 [-0.14790963  0.36660684]
 [-0.20650338  0.25332559]
 [-0.1459565   0.42715372]]","[[-0.0416838   0.30191201]
 [ 0.04620683  0.16324013]
 [-0.04363692  0.29800576]
 [-0.0104338   0.34097451]
 [ 0.06573808  0.26480263]
 [ 0.1614412   0.10074013]
 [ 0.2083162   0.11636513]
 [-0.05144942  0.44058388]
 [ 0.03253495  0.36245888]
 [ 0.13409745  0.21011513]
 [ 0.21417558  0.07339638]
 [ 0.18292558 -0.16879112]
 [ 0.23565995 -0.14535362]
 [ 0.28253495 -0.17855674]
 [ 0.28058183 -0.13949424]
 [ 0.32940995 -0.19222862]
 [ 0.3723787  -0.11410362]
 [ 0.1301912  -0.08480674]
 [ 0.32355058 -0.27816612]
 [ 0.25909745 -0.45004112]
 [ 0.07355058 -0.32894737]
 [ 0.11847245 -0.35824424]
 [ 0.14972245 -0.39144737]
 [ 0.2161287  -0.41879112]
 [ 0.06378495 -0.25863487]
 [ 0.11065995 -0.22933799]
 [ 0.1536287  -0.32894737]
 [ 0.3098787  -0.48910362]
 [ 0.18292558 -0.50668174]
 [ 0.30996622  0.23627534]
 [ 0.36660684  0.18549409]
 [ 0.25332559  0.28315034]
 [ 0.42715372  0.08588471]]","[[-0.02420847  0.30191201]
 [ 0.03047903  0.16324013]
 [ 0.02657278  0.29800576]
 [ 0.03047903  0.34097451]
 [ 0.03438528  0.26480263]
 [-0.01639597  0.10074013]
 [-0.07108347  0.11636513]
 [ 0.03047903  0.44058388]
 [ 0.03438528  0.36245888]
 [-0.01639597  0.21011513]
 [-0.01248972  0.07339638]
 [ 0.09493215 -0.16879112]
 [ 0.0441509  -0.14535362]
 [ 0.04805715 -0.17855674]
 [ 0.04805715 -0.13949424]
 [ 0.0519634  -0.19222862]
 [ 0.05782278 -0.11410362]
 [ 0.08907278 -0.08480674]
 [ 0.11251028 -0.27816612]
 [ 0.16524465 -0.45004112]
 [ 0.18868215 -0.32894737]
 [ 0.19844778 -0.35824424]
 [ 0.2629009  -0.39144737]
 [ 0.15743215 -0.41879112]
 [ 0.24141653 -0.25863487]
 [ 0.25118215 -0.22933799]
 [ 0.2629009  -0.32894737]
 [ 0.11251028 -0.48910362]
 [ 0.27266653 -0.50668174]
 [-0.15181588  0.23627534]
 [-0.14790963  0.18549409]
 [-0.20650338  0.28315034]
 [-0.1459565   0.08588471]]"
4,"[[-0.25728463  0.48574747]
 [-0.04048775  0.38027872]
 [-0.14094295  0.43286701]
 [-0.19758358  0.49146076]
 [-0.14094295  0.48950763]
 [ 0.02201225  0.41934122]
 [-0.153769    0.21230997]
 [-0.15181588  0.27676309]
 [-0.14790963  0.33730997]
 [-0.1459565   0.40371622]
 [-0.15181588  0.24160684]
 [-0.14790963  0.30605997]
 [-0.1459565   0.38027872]
 [-0.20455025  0.31191934]
 [-0.0990815   0.29043497]
 [-0.09517525  0.37441934]
 [-0.09211483  0.29810138]
 [-0.08820858  0.36255451]
 [-0.09211483  0.24536701]
 [-0.08820858  0.31958576]
 [-0.08625545  0.39966388]
 [-0.20650338  0.17520059]
 [-0.14680233  0.25317951]
 [-0.14680233  0.13989826]
 [-0.25728463  0.19277872]
 [-0.25728463  0.24160684]
 [-0.35494088  0.19668497]
 [-0.25728463  0.24355997]
 [-0.15962838  0.19082559]
 [-0.10383358  0.16333576]
 [-0.09992733  0.21021076]]","[[ 0.48574747 -0.17388091]
 [ 0.38027872 -0.10161529]
 [ 0.43286701 -0.08702762]
 [ 0.49146076 -0.20030887]
 [ 0.48950763 -0.19054324]
 [ 0.41934122 -0.06841216]
 [ 0.21230997  0.41596284]
 [ 0.27676309  0.36713471]
 [ 0.33730997  0.32416596]
 [ 0.40371622  0.24213471]
 [ 0.24160684  0.47455659]
 [ 0.30605997  0.43354096]
 [ 0.38027872  0.34369721]
 [ 0.31191934  0.23627534]
 [ 0.29043497  0.30268159]
 [ 0.37441934  0.09565034]
 [ 0.29810138  0.09851926]
 [ 0.36255451  0.03601926]
 [ 0.24536701  0.26844113]
 [ 0.31958576  0.19617551]
 [ 0.39966388  0.08094113]
 [ 0.17520059  0.52729096]
 [ 0.25317951  0.09656613]
 [ 0.13989826  0.40125363]
 [ 0.19277872 -0.30278716]
 [ 0.24160684 -0.30474029]
 [ 0.19668497 -0.25395904]
 [ 0.24355997 -0.28716216]
 [ 0.19082559 -0.30474029]
 [ 0.16333576 -0.35655887]
 [ 0.21021076 -0.39952762]]","[[-0.25728463 -0.17388091]
 [-0.04048775 -0.10161529]
 [-0.14094295 -0.08702762]
 [-0.19758358 -0.20030887]
 [-0.14094295 -0.19054324]
 [ 0.02201225 -0.06841216]
 [-0.153769    0.41596284]
 [-0.15181588  0.36713471]
 [-0.14790963  0.32416596]
 [-0.1459565   0.24213471]
 [-0.15181588  0.47455659]
 [-0.14790963  0.43354096]
 [-0.1459565   0.34369721]
 [-0.20455025  0.23627534]
 [-0.0990815   0.30268159]
 [-0.09517525  0.09565034]
 [-0.09211483  0.09851926]
 [-0.08820858  0.03601926]
 [-0.09211483  0.26844113]
 [-0.08820858  0.19617551]
 [-0.08625545  0.08094113]
 [-0.20650338  0.52729096]
 [-0.14680233  0.09656613]
 [-0.14680233  0.40125363]
 [-0.25728463 -0.30278716]
 [-0.25728463 -0.30474029]
 [-0.35494088 -0.25395904]
 [-0.25728463 -0.28716216]
 [-0.15962838 -0.30474029]
 [-0.10383358 -0.35655887]
 [-0.09992733 -0.39952762]]"
5,"[[-0.09211483  0.20435138]
 [-0.08820858  0.28833576]
 [-0.14680233  0.12817951]
 [-0.08625545  0.36646076]
 [-0.10383358  0.14966388]
 [-0.09992733  0.19067951]
 [-0.06086483  0.10864826]
 [-0.05695858  0.15161701]
 [-0.05305233  0.19263263]
 [-0.05695858  0.15747638]
 [-0.09992733  0.20044513]
 [-0.19758358  0.44653888]
 [-0.19758358  0.40161701]
 [-0.19758358  0.44849201]
 [-0.19758358  0.49536701]
 [-0.19758358  0.49341388]]","[[ 0.20435138  0.37000363]
 [ 0.28833576  0.28797238]
 [ 0.12817951  0.42469113]
 [ 0.36646076  0.20594113]
 [ 0.14966388 -0.52843387]
 [ 0.19067951 -0.56749637]
 [ 0.10864826 -0.44835574]
 [ 0.15161701 -0.48741824]
 [ 0.19263263 -0.53624637]
 [ 0.15747638 -0.42296512]
 [ 0.20044513 -0.49523074]
 [ 0.44653888 -0.38976199]
 [ 0.40161701 -0.25694949]
 [ 0.44849201 -0.27257449]
 [ 0.49536701 -0.27843387]
 [ 0.49341388 -0.40538699]]","[[-0.09211483  0.37000363]
 [-0.08820858  0.28797238]
 [-0.14680233  0.42469113]
 [-0.08625545  0.20594113]
 [-0.10383358 -0.52843387]
 [-0.09992733 -0.56749637]
 [-0.06086483 -0.44835574]
 [-0.05695858 -0.48741824]
 [-0.05305233 -0.53624637]
 [-0.05695858 -0.42296512]
 [-0.09992733 -0.49523074]
 [-0.19758358 -0.38976199]
 [-0.19758358 -0.25694949]
 [-0.19758358 -0.27257449]
 [-0.19758358 -0.27843387]
 [-0.19758358 -0.40538699]]"
6,"[[ 0.69645579 -0.98023056]
 [ 0.67301829 -0.98023056]
 [ 0.69645579 -0.98023056]
 [ 0.74333079 -0.98023056]
 [ 0.74333079 -0.98023056]
 [-0.32097583  0.10480542]
 [-0.32097583  0.1497273 ]
 [-0.32097583  0.15168042]
 [-0.21550708  0.31183667]
 [-0.26628833  0.34894605]
 [-0.2174602   0.27668042]
 [-0.21550708  0.30793042]
 [-0.15886645  0.36457105]
 [-0.2643352   0.37043042]
 [-0.2643352   0.4466023 ]
 [-0.2174602   0.26300855]
 [-0.21550708  0.29230542]
 [-0.21160083  0.36652417]
 [-0.27019458  0.28644605]
 [-0.32097583  0.4153523 ]
 [-0.32097583  0.49933667]]","[[-0.98023056 -1.87080793]
 [-0.98023056 -1.73018293]
 [-0.98023056 -1.76924543]
 [-0.98023056 -1.76143293]
 [-0.98023056 -1.65401105]
 [ 0.10480542  0.13800855]
 [ 0.1497273   0.2434773 ]
 [ 0.15168042  0.17511792]
 [ 0.31183667  0.4622273 ]
 [ 0.34894605  0.52863355]
 [ 0.27668042  0.38214917]
 [ 0.30793042  0.47980542]
 [ 0.36457105  0.3919148 ]
 [ 0.37043042  0.63800855]
 [ 0.4466023   0.5169148 ]
 [ 0.26300855  0.46808667]
 [ 0.29230542  0.55402417]
 [ 0.36652417  0.41925855]
 [ 0.28644605  0.31769605]
 [ 0.4153523   0.65363355]
 [ 0.49933667  0.49543042]]","[[ 0.69645579 -1.87080793]
 [ 0.67301829 -1.73018293]
 [ 0.69645579 -1.76924543]
 [ 0.74333079 -1.76143293]
 [ 0.74333079 -1.65401105]
 [-0.32097583  0.13800855]
 [-0.32097583  0.2434773 ]
 [-0.32097583  0.17511792]
 [-0.21550708  0.4622273 ]
 [-0.26628833  0.52863355]
 [-0.2174602   0.38214917]
 [-0.21550708  0.47980542]
 [-0.15886645  0.3919148 ]
 [-0.2643352   0.63800855]
 [-0.2643352   0.5169148 ]
 [-0.2174602   0.46808667]
 [-0.21550708  0.55402417]
 [-0.21160083  0.41925855]
 [-0.27019458  0.31769605]
 [-0.32097583  0.65363355]
 [-0.32097583  0.49543042]]"
7,"[[-0.43035083  0.38214917]
 [-0.43230395  0.42707105]
 [-0.48894458  0.42511792]
 [-0.49285083  0.46613355]
 [-0.49285083  0.46027417]
 [ 0.66339917 -1.34831958]
 [ 0.66339917 -1.34831958]
 [ 0.68683667 -1.34831958]
 [ 0.62433667 -1.34831958]
 [ 0.59553571 -1.14542411]
 [ 0.59553571 -1.14542411]
 [ 0.61702009 -1.14542411]
 [ 0.54475446 -1.14542411]
 [-0.26969866  0.37606027]
 [-0.27360491  0.34676339]
 [-0.27360491  0.28231027]
 [-0.32243304  0.66316964]
 [-0.37907366  0.61434152]
 [-0.32243304  0.64949777]]","[[ 0.38214917  0.1497273 ]
 [ 0.42707105  0.0794148 ]
 [ 0.42511792  0.18488355]
 [ 0.46613355  0.03058667]
 [ 0.46027417 -0.02605395]
 [-1.34831958 -1.6705852 ]
 [-1.34831958 -1.58269458]
 [-1.34831958 -1.62566333]
 [-1.34831958 -1.78581958]
 [-1.14542411  1.40881696]
 [-1.14542411  1.44983259]
 [-1.14542411  1.31506696]
 [-1.14542411  1.53772321]
 [ 0.37606027  0.76233259]
 [ 0.34676339  0.71741071]
 [ 0.28231027  0.82873884]
 [ 0.66316964  0.19592634]
 [ 0.61434152  0.20959821]
 [ 0.64949777  0.28186384]]","[[-0.43035083  0.1497273 ]
 [-0.43230395  0.0794148 ]
 [-0.48894458  0.18488355]
 [-0.49285083  0.03058667]
 [-0.49285083 -0.02605395]
 [ 0.66339917 -1.6705852 ]
 [ 0.66339917 -1.58269458]
 [ 0.68683667 -1.62566333]
 [ 0.62433667 -1.78581958]
 [ 0.59553571  1.40881696]
 [ 0.59553571  1.44983259]
 [ 0.61702009  1.31506696]
 [ 0.54475446  1.53772321]
 [-0.26969866  0.76233259]
 [-0.27360491  0.71741071]
 [-0.27360491  0.82873884]
 [-0.32243304  0.19592634]
 [-0.37907366  0.20959821]
 [-0.32243304  0.28186384]]"
8,"[[-0.32438616  0.58699777]
 [-0.32243304  0.62996652]
 [-0.26969866  0.57918527]
 [-0.32243304  0.63582589]
 [-0.37907366  0.67879464]
 [-0.22529871  0.47748162]
 [-0.27607996  0.55365349]
 [-0.21943934  0.61224724]
 [-0.21553309  0.64935662]
 [-0.22529871  0.46966912]
 [-0.22139246  0.53412224]
 [-0.21943934  0.59076287]
 [-0.21553309  0.61224724]
 [-0.27607996  0.49896599]
 [-0.27412684  0.56146599]
 [-0.27412684  0.57904412]
 [-0.27412684  0.66888787]
 [-0.21357996  0.60052849]
 [-0.37907366  0.66512277]
 [-0.37907366  0.69832589]
 [-0.37907366  0.71199777]
 [ 0.70295759 -1.14542411]
 [ 0.72834821 -1.14542411]
 [ 0.59306066 -1.15142463]]","[[ 0.58699777 -0.00329241]
 [ 0.62996652 -0.20251116]
 [ 0.57918527  0.07678571]
 [ 0.63582589 -0.08532366]
 [ 0.67879464 -0.17712054]
 [ 0.47748162  0.16674326]
 [ 0.55365349  0.04955576]
 [ 0.61224724 -0.03833487]
 [ 0.64935662  0.02807138]
 [ 0.46966912  0.19408701]
 [ 0.53412224  0.13744638]
 [ 0.59076287  0.09838388]
 [ 0.61224724  0.20775888]
 [ 0.49896599  0.27221201]
 [ 0.56146599  0.22533701]
 [ 0.57904412  0.32689951]
 [ 0.66888787 -0.10083487]
 [ 0.60052849  0.39721201]
 [ 0.66512277 -0.32751116]
 [ 0.69832589 -0.40954241]
 [ 0.71199777 -0.32360491]
 [-1.14542411 -1.85094866]
 [-1.14542411 -1.86266741]
 [-1.15142463 -1.89380362]]","[[-0.32438616 -0.00329241]
 [-0.32243304 -0.20251116]
 [-0.26969866  0.07678571]
 [-0.32243304 -0.08532366]
 [-0.37907366 -0.17712054]
 [-0.22529871  0.16674326]
 [-0.27607996  0.04955576]
 [-0.21943934 -0.03833487]
 [-0.21553309  0.02807138]
 [-0.22529871  0.19408701]
 [-0.22139246  0.13744638]
 [-0.21943934  0.09838388]
 [-0.21553309  0.20775888]
 [-0.27607996  0.27221201]
 [-0.27412684  0.22533701]
 [-0.27412684  0.32689951]
 [-0.27412684 -0.10083487]
 [-0.21357996  0.39721201]
 [-0.37907366 -0.32751116]
 [-0.37907366 -0.40954241]
 [-0.37907366 -0.32360491]
 [ 0.70295759 -1.85094866]
 [ 0.72834821 -1.86266741]
 [ 0.59306066 -1.89380362]]"
9,"[[-0.16279871  0.62005974]
 [-0.16865809  0.57513787]
 [-0.21553309  0.66498162]
 [-0.1999566   0.27456597]
 [-0.19605035  0.3390191 ]
 [-0.1374566   0.39956597]
 [-0.19019097  0.4483941 ]
 [-0.2468316   0.44253472]
 [-0.1999566   0.21597222]
 [-0.19605035  0.30581597]
 [-0.19409722  0.3858941 ]
 [-0.19019097  0.44253472]
 [-0.2468316   0.46597222]
 [-0.30542535  0.49136285]
 [-0.1999566   0.1827691 ]
 [-0.19605035  0.2687066 ]
 [-0.19409722  0.35269097]
 [-0.24878472  0.40347222]
 [-0.30542535  0.43081597]
 [-0.30542535  0.18862847]
 [-0.25855035  0.16323785]
 [-0.21362847  0.11440972]
 [-0.30542535  0.25698785]]","[[ 0.62005974 -0.18872549]
 [ 0.57513787 -0.23364737]
 [ 0.66498162 -0.08716299]
 [ 0.27456597  0.45633681]
 [ 0.3390191   0.39774306]
 [ 0.39956597  0.32352431]
 [ 0.4483941   0.34110243]
 [ 0.44253472  0.55203993]
 [ 0.21597222  0.61453993]
 [ 0.30581597  0.50711806]
 [ 0.3858941   0.40164931]
 [ 0.44253472  0.37039931]
 [ 0.46597222  0.47782118]
 [ 0.49136285  0.55789931]
 [ 0.1827691   0.68680556]
 [ 0.2687066   0.61063368]
 [ 0.35269097  0.51297743]
 [ 0.40347222  0.51688368]
 [ 0.43081597  0.58719618]
 [ 0.18862847  0.56571181]
 [ 0.16323785 -0.08272569]
 [ 0.11440972 -0.01046007]
 [ 0.25698785 -0.11592882]]","[[-0.16279871 -0.18872549]
 [-0.16865809 -0.23364737]
 [-0.21553309 -0.08716299]
 [-0.1999566   0.45633681]
 [-0.19605035  0.39774306]
 [-0.1374566   0.32352431]
 [-0.19019097  0.34110243]
 [-0.2468316   0.55203993]
 [-0.1999566   0.61453993]
 [-0.19605035  0.50711806]
 [-0.19409722  0.40164931]
 [-0.19019097  0.37039931]
 [-0.2468316   0.47782118]
 [-0.30542535  0.55789931]
 [-0.1999566   0.68680556]
 [-0.19605035  0.61063368]
 [-0.19409722  0.51297743]
 [-0.24878472  0.51688368]
 [-0.30542535  0.58719618]
 [-0.30542535  0.56571181]
 [-0.25855035 -0.08272569]
 [-0.21362847 -0.01046007]
 [-0.30542535 -0.11592882]]"
