,xy,yz,xz
0,"[[ 0.19475446 -0.49944196]
 [ 0.19475446 -0.43694196]
 [ 0.19475446 -0.47600446]
 [ 0.22600446 -0.43108259]
 [ 0.16601562 -0.39811198]
 [ 0.19726562 -0.36295573]
 [ 0.16601562 -0.37467448]
 [ 0.19726562 -0.33170573]
 [ 0.19001116 -0.47237723]
 [ 0.25055804 -0.46065848]
 [ 0.24860491 -0.48214286]
 [ 0.21930804 -0.39815848]
 [ 0.09453125 -0.23164063]
 [ 0.12578125 -0.17695313]
 [ 0.06523437 -0.18476563]
 [ 0.12578125 -0.16328125]]","[[-0.49944196  0.16210938]
 [-0.43694196  0.16601562]
 [-0.47600446  0.07421875]
 [-0.43108259  0.03125   ]
 [-0.39811198  0.19759115]
 [-0.36295573  0.2014974 ]
 [-0.37467448  0.1077474 ]
 [-0.33170573  0.06673177]
 [-0.47237723  0.10212054]
 [-0.46065848  0.10407366]
 [-0.48214286 -0.05022321]
 [-0.39815848 -0.02287946]
 [-0.23164063 -0.00117187]
 [-0.17695313 -0.06171875]
 [-0.18476563 -0.0734375 ]
 [-0.16328125 -0.13398437]]","[[ 0.19475446  0.16210938]
 [ 0.19475446  0.16601562]
 [ 0.19475446  0.07421875]
 [ 0.22600446  0.03125   ]
 [ 0.16601562  0.19759115]
 [ 0.19726562  0.2014974 ]
 [ 0.16601562  0.1077474 ]
 [ 0.19726562  0.06673177]
 [ 0.19001116  0.10212054]
 [ 0.25055804  0.10407366]
 [ 0.24860491 -0.05022321]
 [ 0.21930804 -0.02287946]
 [ 0.09453125 -0.00117187]
 [ 0.12578125 -0.06171875]
 [ 0.06523437 -0.0734375 ]
 [ 0.12578125 -0.13398437]]"
1,"[[ 0.00097656 -0.04296875]
 [-0.00097656  0.04296875]
 [-0.02880859 -0.00390625]
 [ 0.03173828  0.05664062]
 [ 0.02783203  0.01953125]
 [ 0.          0.        ]
 [-0.01041667  0.01953125]
 [-0.01041667 -0.03515625]
 [ 0.02083333  0.015625  ]
 [-0.03076172 -0.07226562]]","[[-0.04296875  0.02636719]
 [ 0.04296875 -0.02636719]
 [-0.00390625  0.06445312]
 [ 0.05664062 -0.05859375]
 [ 0.01953125 -0.16796875]
 [ 0.          0.        ]
 [ 0.01953125  0.05794271]
 [-0.03515625  0.01692708]
 [ 0.015625   -0.07486979]
 [-0.07226562  0.16210938]]","[[ 0.00097656  0.02636719]
 [-0.00097656 -0.02636719]
 [-0.02880859  0.06445312]
 [ 0.03173828 -0.05859375]
 [ 0.02783203 -0.16796875]
 [ 0.          0.        ]
 [-0.01041667  0.05794271]
 [-0.01041667  0.01692708]
 [ 0.02083333 -0.07486979]
 [-0.03076172  0.16210938]]"
2,"[[ 0.17165799  0.24240451]
 [ 0.23220486  0.28537326]
 [ 0.17165799  0.24240451]
 [-0.02107319  0.08501234]
 [-0.02107319  0.14360609]
 [-0.08162007  0.13188734]
 [-0.02107319  0.22173109]
 [-0.02107319  0.22759046]
 [-0.02107319  0.18657484]
 [ 0.26408306  0.04204359]
 [ 0.14689556  0.00688734]
 [ 0.20744243  0.05571546]
 [ 0.09025493  0.01274671]]","[[ 0.24240451 -0.23567708]
 [ 0.28537326 -0.23177083]
 [ 0.24240451 -0.18489583]
 [ 0.08501234 -0.19150905]
 [ 0.14360609 -0.15244655]
 [ 0.13188734 -0.19150905]
 [ 0.22173109  0.0077097 ]
 [ 0.22759046  0.04481908]
 [ 0.18657484  0.11122533]
 [ 0.04204359  0.6717722 ]
 [ 0.00688734  0.67567845]
 [ 0.05571546  0.6405222 ]
 [ 0.01274671  0.6717722 ]]","[[ 0.17165799 -0.23567708]
 [ 0.23220486 -0.23177083]
 [ 0.17165799 -0.18489583]
 [-0.02107319 -0.19150905]
 [-0.02107319 -0.15244655]
 [-0.08162007 -0.19150905]
 [-0.02107319  0.0077097 ]
 [-0.02107319  0.04481908]
 [-0.02107319  0.11122533]
 [ 0.26408306  0.6717722 ]
 [ 0.14689556  0.67567845]
 [ 0.20744243  0.6405222 ]
 [ 0.09025493  0.6717722 ]]"
3,"[[-0.0359933   0.03822545]
 [-0.0359933   0.07924107]
 [-0.0359933   0.11049107]
 [-0.09654018  0.07533482]
 [-0.02994792 -0.02994792]
 [ 0.07533482 -0.06529018]
 [-0.0359933   0.0968192 ]]","[[ 0.03822545  0.02120536]
 [ 0.07924107  0.13058036]
 [ 0.11049107  0.25753348]
 [ 0.07533482  0.16183036]
 [-0.02994792  0.09147135]
 [-0.06529018  0.12862723]
 [ 0.0968192   0.33565848]]","[[-0.0359933   0.02120536]
 [-0.0359933   0.13058036]
 [-0.0359933   0.25753348]
 [-0.09654018  0.16183036]
 [-0.02994792  0.09147135]
 [ 0.07533482  0.12862723]
 [-0.0359933   0.33565848]]"
4,"[[-0.08658854  0.05208333]
 [-0.06640625  0.04980469]
 [-0.06640625  0.10058594]
 [-0.054375    0.1878125 ]
 [-0.1715625   0.14289062]
 [-0.17546875  0.18585937]
 [-0.2340625   0.17804687]
 [-0.054375    0.23273437]
 [-0.1715625   0.14484375]
 [ 0.14192708 -0.04166667]
 [ 0.14778646  0.00325521]
 [ 0.10546875 -0.04199219]
 [ 0.00226563  0.01203125]
 [ 0.0003125  -0.03289063]
 [ 0.00226563  0.0784375 ]]","[[ 0.05208333 -0.0921224 ]
 [ 0.04980469 -0.0234375 ]
 [ 0.10058594 -0.04492188]
 [ 0.1878125  -0.00375   ]
 [ 0.14289062  0.06851562]
 [ 0.18585937  0.01382812]
 [ 0.17804687 -0.01742188]
 [ 0.23273437 -0.0271875 ]
 [ 0.14484375  0.13492187]
 [-0.04166667  0.13834635]
 [ 0.00325521  0.10904948]
 [-0.04199219  0.12304688]
 [ 0.01203125  0.56460937]
 [-0.03289063  0.54703125]
 [ 0.0784375   0.465     ]]","[[-8.65885417e-02 -9.21223958e-02]
 [-6.64062500e-02 -2.34375000e-02]
 [-6.64062500e-02 -4.49218750e-02]
 [-5.43750000e-02 -3.75000000e-03]
 [-1.71562500e-01  6.85156250e-02]
 [-1.75468750e-01  1.38281250e-02]
 [-2.34062500e-01 -1.74218750e-02]
 [-5.43750000e-02 -2.71875000e-02]
 [-1.71562500e-01  1.34921875e-01]
 [ 1.41927083e-01  1.38346354e-01]
 [ 1.47786458e-01  1.09049479e-01]
 [ 1.05468750e-01  1.23046875e-01]
 [ 2.26562500e-03  5.64609375e-01]
 [ 3.12500000e-04  5.47031250e-01]
 [ 2.26562500e-03  4.65000000e-01]]"
5,"[[ 0.055      -0.023125  ]
 [ 0.11359375  0.02960937]
 [ 0.06085938  0.0784375 ]
 [ 0.00421875  0.11164062]
 [-0.05273438  0.12988281]
 [ 0.0078125   0.08300781]
 [ 0.0703125   0.12597656]
 [ 0.07235863  0.13774182]
 [ 0.13485863  0.19047619]]","[[-0.023125    0.49039062]
 [ 0.02960937  0.43179687]
 [ 0.0784375   0.45132812]
 [ 0.11164062  0.54507812]
 [ 0.12988281 -0.09160156]
 [ 0.08300781 -0.15410156]
 [ 0.12597656 -0.07988281]
 [ 0.13774182  0.03636533]
 [ 0.19047619 -0.09254092]]","[[ 0.055       0.49039062]
 [ 0.11359375  0.43179687]
 [ 0.06085938  0.45132812]
 [ 0.00421875  0.54507812]
 [-0.05273438 -0.09160156]
 [ 0.0078125  -0.15410156]
 [ 0.0703125  -0.07988281]
 [ 0.07235863  0.03636533]
 [ 0.13485863 -0.09254092]]"
6,"[[ 0.07626488  0.19633557]
 [ 0.01571801  0.19828869]
 [ 0.01767113  0.24711682]
 [ 0.13095238  0.14555432]
 [ 0.13485863  0.18266369]
 [ 0.13095238  0.14555432]
 [ 0.19540551  0.18461682]
 [ 0.20126488  0.22172619]
 [ 0.01767113  0.24516369]
 [ 0.20126488  0.20805432]
 [ 0.00985863 -0.02046131]
 [-0.01635742 -0.08642578]
 [-0.0144043  -0.04150391]
 [-0.01049805  0.01513672]]","[[ 0.19633557 -0.11597842]
 [ 0.19828869 -0.10035342]
 [ 0.24711682 -0.17066592]
 [ 0.14555432 -0.1921503 ]
 [ 0.18266369 -0.35816592]
 [ 0.14555432 -0.13160342]
 [ 0.18461682 -0.25074405]
 [ 0.22172619 -0.36597842]
 [ 0.24516369 -0.21949405]
 [ 0.20805432 -0.4734003 ]
 [-0.02046131  0.17113095]
 [-0.08642578  0.20654297]
 [-0.04150391  0.22021484]
 [ 0.01513672  0.18310547]]","[[ 0.07626488 -0.11597842]
 [ 0.01571801 -0.10035342]
 [ 0.01767113 -0.17066592]
 [ 0.13095238 -0.1921503 ]
 [ 0.13485863 -0.35816592]
 [ 0.13095238 -0.13160342]
 [ 0.19540551 -0.25074405]
 [ 0.20126488 -0.36597842]
 [ 0.01767113 -0.21949405]
 [ 0.20126488 -0.4734003 ]
 [ 0.00985863  0.17113095]
 [-0.01635742  0.20654297]
 [-0.0144043   0.22021484]
 [-0.01049805  0.18310547]]"
7,"[[-0.0144043  -0.01025391]
 [-0.01049805  0.04248047]
 [ 0.00732422  0.00610352]
 [ 0.00146484 -0.09350586]
 [ 0.06005859 -0.04858398]
 [ 0.01318359  0.08813477]
 [ 0.01318359  0.09204102]
 [-0.04541016  0.14672852]
 [ 0.14613971  0.29618566]
 [ 0.20668658  0.32938879]
 [ 0.20278033  0.29032629]
 [ 0.20668658  0.33329504]
 [ 0.15199908  0.37235754]
 [ 0.14613971  0.29032629]
 [ 0.20668658  0.33915441]
 [ 0.15199908  0.38017004]
 [ 0.14418658  0.24931066]
 [ 0.20278033  0.28251379]
 [ 0.14418658  0.23368566]]","[[-1.02539062e-02  8.74023438e-02]
 [ 4.24804688e-02  6.59179688e-02]
 [ 6.10351562e-03  2.44140625e-04]
 [-9.35058594e-02  8.61816406e-02]
 [-4.85839844e-02  5.49316406e-02]
 [ 8.81347656e-02 -2.73193359e-01]
 [ 9.20410156e-02 -2.34130859e-01]
 [ 1.46728516e-01 -1.89208984e-01]
 [ 2.96185662e-01 -6.61764706e-02]
 [ 3.29388787e-01 -2.55629596e-01]
 [ 2.90326287e-01  6.08915441e-03]
 [ 3.33295037e-01 -2.10707721e-01]
 [ 3.72357537e-01 -3.23988971e-01]
 [ 2.90326287e-01  1.01792279e-01]
 [ 3.39154412e-01 -1.07192096e-01]
 [ 3.80170037e-01 -2.51723346e-01]
 [ 2.49310662e-01 -6.61764706e-02]
 [ 2.82513787e-01 -2.49770221e-01]
 [ 2.33685662e-01  1.79917279e-01]]","[[-1.44042969e-02  8.74023438e-02]
 [-1.04980469e-02  6.59179688e-02]
 [ 7.32421875e-03  2.44140625e-04]
 [ 1.46484375e-03  8.61816406e-02]
 [ 6.00585938e-02  5.49316406e-02]
 [ 1.31835938e-02 -2.73193359e-01]
 [ 1.31835938e-02 -2.34130859e-01]
 [-4.54101562e-02 -1.89208984e-01]
 [ 1.46139706e-01 -6.61764706e-02]
 [ 2.06686581e-01 -2.55629596e-01]
 [ 2.02780331e-01  6.08915441e-03]
 [ 2.06686581e-01 -2.10707721e-01]
 [ 1.51999081e-01 -3.23988971e-01]
 [ 1.46139706e-01  1.01792279e-01]
 [ 2.06686581e-01 -1.07192096e-01]
 [ 1.51999081e-01 -2.51723346e-01]
 [ 1.44186581e-01 -6.61764706e-02]
 [ 2.02780331e-01 -2.49770221e-01]
 [ 1.44186581e-01  1.79917279e-01]]"
8,"[[-0.04789402 -0.0845788 ]
 [-0.0459409  -0.0455163 ]
 [ 0.01460598  0.01893682]
 [ 0.01851223  0.06581182]
 [ 0.02241848  0.11268682]
 [-0.10453465 -0.13731318]
 [-0.04789402 -0.10996943]
 [ 0.01069973 -0.06504755]
 [ 0.01460598  0.01307745]
 [ 0.01851223  0.0638587 ]
 [ 0.02241848  0.1107337 ]
 [-0.04789402 -0.1158288 ]
 [ 0.01460598  0.00721807]
 [ 0.01851223  0.05409307]
 [-0.03617527  0.11268682]
 [ 0.0712466   0.00331182]
 [ 0.01851223  0.0560462 ]
 [ 0.00484035 -0.08067255]
 [ 0.01069973 -0.0298913 ]
 [ 0.01460598  0.0169837 ]]","[[-0.0845788   0.09969429]
 [-0.0455163   0.15828804]
 [ 0.01893682 -0.09171196]
 [ 0.06581182 -0.16788383]
 [ 0.11268682 -0.16202446]
 [-0.13731318  0.16219429]
 [-0.10996943  0.24813179]
 [-0.06504755  0.24422554]
 [ 0.01307745  0.01766304]
 [ 0.0638587  -0.02335258]
 [ 0.1107337  -0.05850883]
 [-0.1158288   0.27742867]
 [ 0.00721807  0.08797554]
 [ 0.05409307  0.08211617]
 [ 0.11268682  0.00985054]
 [ 0.00331182 -0.30460258]
 [ 0.0560462  -0.30069633]
 [-0.08067255  0.03719429]
 [-0.0298913  -0.02530571]
 [ 0.0169837  -0.20304008]]","[[-0.04789402  0.09969429]
 [-0.0459409   0.15828804]
 [ 0.01460598 -0.09171196]
 [ 0.01851223 -0.16788383]
 [ 0.02241848 -0.16202446]
 [-0.10453465  0.16219429]
 [-0.04789402  0.24813179]
 [ 0.01069973  0.24422554]
 [ 0.01460598  0.01766304]
 [ 0.01851223 -0.02335258]
 [ 0.02241848 -0.05850883]
 [-0.04789402  0.27742867]
 [ 0.01460598  0.08797554]
 [ 0.01851223  0.08211617]
 [-0.03617527  0.00985054]
 [ 0.0712466  -0.30460258]
 [ 0.01851223 -0.30069633]
 [ 0.00484035  0.03719429]
 [ 0.01069973 -0.02530571]
 [ 0.01460598 -0.20304008]]"
9,"[[ 0.01851223  0.06190557]
 [-0.04287997  0.24369673]
 [ 0.0020419   0.09916548]
 [ 0.00790128  0.14408736]
 [ 0.01180753  0.18900923]
 [ 0.08296535  0.0951087 ]
 [-0.04287997  0.24369673]
 [-0.05069247  0.07572798]
 [ 0.00790128  0.12455611]
 [ 0.05087003 -0.01606889]
 [ 0.0020419   0.05033736]
 [ 0.00790128  0.10502486]
 [-0.0448331   0.18510298]
 [ 0.0020419   0.00932173]
 [ 0.00790128  0.06791548]
 [-0.10342685  0.18900923]
 [-0.10342685  0.15580611]]","[[ 0.06190557 -0.24405571]
 [ 0.24369673 -0.10475852]
 [ 0.09916548 -0.14772727]
 [ 0.14408736 -0.15358665]
 [ 0.18900923 -0.20046165]
 [ 0.0951087  -0.31436821]
 [ 0.24369673 -0.05397727]
 [ 0.07572798  0.22727273]
 [ 0.12455611  0.1940696 ]
 [-0.01606889  0.36789773]
 [ 0.05033736  0.32297585]
 [ 0.10502486  0.2956321 ]
 [ 0.18510298  0.12961648]
 [ 0.00932173  0.4675071 ]
 [ 0.06791548  0.43430398]
 [ 0.18900923  0.1237571 ]
 [ 0.15580611  0.31321023]]","[[ 0.01851223 -0.24405571]
 [-0.04287997 -0.10475852]
 [ 0.0020419  -0.14772727]
 [ 0.00790128 -0.15358665]
 [ 0.01180753 -0.20046165]
 [ 0.08296535 -0.31436821]
 [-0.04287997 -0.05397727]
 [-0.05069247  0.22727273]
 [ 0.00790128  0.1940696 ]
 [ 0.05087003  0.36789773]
 [ 0.0020419   0.32297585]
 [ 0.00790128  0.2956321 ]
 [-0.0448331   0.12961648]
 [ 0.0020419   0.4675071 ]
 [ 0.00790128  0.43430398]
 [-0.10342685  0.1237571 ]
 [-0.10342685  0.31321023]]"
