,xy,yz,xz
0,"[[-0.10538383  0.22248641]
 [-0.16202446  0.27522079]
 [-0.10147758  0.26936141]
 [-0.04288383  0.28108016]
 [-0.11914062  0.27380371]
 [-0.17578125  0.27380371]
 [-0.11523438  0.31481934]
 [-0.12890625  0.18005371]
 [-0.12304688  0.22302246]
 [-0.11914062  0.27575684]
 [-0.05069633  0.16389266]
 [-0.04679008  0.21858016]
 [-0.16593071  0.16389266]
 [-0.05069633  0.18928329]
 [-0.10147758  0.28693954]
 [-0.11319633  0.08186141]
 [-0.05460258  0.13459579]
 [-0.05069633  0.18733016]
 [-0.04679008  0.23615829]
 [-0.11132812  0.36364746]
 [-0.11914062  0.27575684]
 [-0.05664062  0.31481934]
 [-0.05664062  0.31481934]
 [-0.05078125  0.36169434]]","[[ 2.22486413e-01  6.60665761e-02]
 [ 2.75220788e-01  3.87228261e-02]
 [ 2.69361413e-01  6.99728261e-02]
 [ 2.81080163e-01 -1.17527174e-01]
 [ 2.73803711e-01 -9.64355469e-03]
 [ 2.73803711e-01  5.67626953e-02]
 [ 3.14819336e-01  6.65283203e-02]
 [ 1.80053711e-01  1.22070312e-04]
 [ 2.23022461e-01  4.30908203e-02]
 [ 2.75756836e-01 -4.67529297e-02]
 [ 1.63892663e-01  1.07082201e-01]
 [ 2.18580163e-01  6.21603261e-02]
 [ 1.63892663e-01  1.50050951e-01]
 [ 1.89283288e-01 -1.74167799e-01]
 [ 2.86939538e-01 -1.91745924e-01]
 [ 8.18614130e-02  5.43478261e-02]
 [ 1.34595788e-01 -2.18240489e-02]
 [ 1.87330163e-01 -1.01902174e-01]
 [ 2.36158288e-01 -1.40964674e-01]
 [ 3.63647461e-01  3.72314453e-02]
 [ 2.75756836e-01 -1.58081055e-01]
 [ 3.14819336e-01 -1.85424805e-01]
 [ 3.14819336e-01 -1.28784180e-01]
 [ 3.61694336e-01 -1.69799805e-01]]","[[-1.05383832e-01  6.60665761e-02]
 [-1.62024457e-01  3.87228261e-02]
 [-1.01477582e-01  6.99728261e-02]
 [-4.28838315e-02 -1.17527174e-01]
 [-1.19140625e-01 -9.64355469e-03]
 [-1.75781250e-01  5.67626953e-02]
 [-1.15234375e-01  6.65283203e-02]
 [-1.28906250e-01  1.22070312e-04]
 [-1.23046875e-01  4.30908203e-02]
 [-1.19140625e-01 -4.67529297e-02]
 [-5.06963315e-02  1.07082201e-01]
 [-4.67900815e-02  6.21603261e-02]
 [-1.65930707e-01  1.50050951e-01]
 [-5.06963315e-02 -1.74167799e-01]
 [-1.01477582e-01 -1.91745924e-01]
 [-1.13196332e-01  5.43478261e-02]
 [-5.46025815e-02 -2.18240489e-02]
 [-5.06963315e-02 -1.01902174e-01]
 [-4.67900815e-02 -1.40964674e-01]
 [-1.11328125e-01  3.72314453e-02]
 [-1.19140625e-01 -1.58081055e-01]
 [-5.66406250e-02 -1.85424805e-01]
 [-5.66406250e-02 -1.28784180e-01]
 [-5.07812500e-02 -1.69799805e-01]]"
1,"[[-0.0078125   0.03515625]
 [-0.0078125   0.03515625]
 [-0.0078125  -0.05078125]
 [-0.0078125  -0.0078125 ]
 [ 0.0234375   0.0234375 ]
 [-0.0078125  -0.05078125]
 [-0.0078125  -0.0078125 ]
 [ 0.0234375   0.0234375 ]
 [ 0.03398438 -0.009375  ]
 [-0.02460937 -0.00351562]]","[[ 0.03515625  0.02587891]
 [ 0.03515625  0.02587891]
 [-0.05078125  0.09423828]
 [-0.0078125  -0.07568359]
 [ 0.0234375  -0.04443359]
 [-0.05078125  0.09423828]
 [-0.0078125  -0.07568359]
 [ 0.0234375  -0.04443359]
 [-0.009375    0.08710938]
 [-0.00351562 -0.03007813]]","[[-0.0078125   0.02587891]
 [-0.0078125   0.02587891]
 [-0.0078125   0.09423828]
 [-0.0078125  -0.07568359]
 [ 0.0234375  -0.04443359]
 [-0.0078125   0.09423828]
 [-0.0078125  -0.07568359]
 [ 0.0234375  -0.04443359]
 [ 0.03398438  0.08710938]
 [-0.02460937 -0.03007813]]"
2,"[[-0.00537109  0.03320312]
 [-0.01318359 -0.06054688]
 [ 0.04736328 -0.0234375 ]
 [-0.00146484  0.078125  ]
 [-0.00146484 -0.00830078]
 [ 0.00244141  0.05615234]
 [ 0.          0.        ]
 [ 0.02018229  0.02799479]
 [ 0.          0.00520833]
 [ 0.00195312  0.04817708]
 [-0.00927734 -0.02148438]
 [ 0.05517578  0.01708984]
 [-0.07552083  0.00325521]
 [ 0.03580729 -0.03776042]
 [ 0.03971354  0.03450521]
 [-0.03645833  0.00260417]
 [ 0.01627604 -0.03059896]
 [-0.00195312 -0.05338542]
 [ 0.05761719 -0.00683594]]","[[ 0.03320312  0.04150391]
 [-0.06054688  0.05712891]
 [-0.0234375  -0.10693359]
 [ 0.078125   -0.07177734]
 [-0.00830078 -0.02197266]
 [ 0.05615234 -0.09814453]
 [ 0.          0.        ]
 [ 0.02799479 -0.109375  ]
 [ 0.00520833 -0.04492188]
 [ 0.04817708 -0.1328125 ]
 [-0.02148438 -0.16552734]
 [ 0.01708984 -0.17431641]
 [ 0.00325521  0.12239583]
 [-0.03776042  0.04622396]
 [ 0.03450521 -0.16861979]
 [ 0.00260417  0.109375  ]
 [-0.03059896  0.        ]
 [-0.05338542  0.17773438]
 [-0.00683594  0.13378906]]","[[-0.00537109  0.04150391]
 [-0.01318359  0.05712891]
 [ 0.04736328 -0.10693359]
 [-0.00146484 -0.07177734]
 [-0.00146484 -0.02197266]
 [ 0.00244141 -0.09814453]
 [ 0.          0.        ]
 [ 0.02018229 -0.109375  ]
 [ 0.         -0.04492188]
 [ 0.00195312 -0.1328125 ]
 [-0.00927734 -0.16552734]
 [ 0.05517578 -0.17431641]
 [-0.07552083  0.12239583]
 [ 0.03580729  0.04622396]
 [ 0.03971354 -0.16861979]
 [-0.03645833  0.109375  ]
 [ 0.01627604  0.        ]
 [-0.00195312  0.17773438]
 [ 0.05761719  0.13378906]]"
3,"[[-0.02568359 -0.19287109]
 [-0.02568359 -0.14404297]
 [-0.02568359 -0.09326172]
 [-0.01663524 -0.13186961]
 [-0.01663524 -0.08694774]
 [-0.01663524 -0.12405711]
 [-0.01663524 -0.13577586]
 [-0.01663524 -0.09280711]
 [ 0.02828664 -0.18265086]
 [-0.02568359 -0.15771484]
 [-0.02568359 -0.11669922]
 [-0.02568359 -0.13623047]
 [-0.01663524 -0.07913524]
 [ 0.03291016  0.18994141]
 [ 0.03486328  0.23681641]
 [ 0.10055226  0.25094289]
 [ 0.10055226  0.25289601]
 [ 0.09150391  0.18798828]
 [ 0.08955078  0.13720703]
 [ 0.08955078  0.14111328]
 [ 0.09150391  0.18603516]
 [-0.02568359  0.23486328]
 [ 0.09859914  0.20211476]
 [ 0.09859914  0.20406789]
 [ 0.04391164  0.30367726]
 [ 0.04586476  0.34859914]
 [ 0.04391164  0.30172414]
 [ 0.04586476  0.35055226]]","[[-0.19287109 -0.21748047]
 [-0.14404297 -0.20380859]
 [-0.09326172 -0.17060547]
 [-0.13186961 -0.23780981]
 [-0.08694774 -0.25343481]
 [-0.12405711 -0.16554418]
 [-0.13577586 -0.27101293]
 [-0.09280711 -0.29249731]
 [-0.18265086 -0.25734106]
 [-0.15771484 -0.30146484]
 [-0.11669922 -0.34443359]
 [-0.13623047 -0.07490234]
 [-0.07913524 -0.19484106]
 [ 0.18994141 -0.08271484]
 [ 0.23681641 -0.13740234]
 [ 0.25094289 -0.12452856]
 [ 0.25289601 -0.06984106]
 [ 0.18798828 -0.01240234]
 [ 0.13720703 -0.17060547]
 [ 0.14111328 -0.08076172]
 [ 0.18603516 -0.14912109]
 [ 0.23486328 -0.17841797]
 [ 0.20211476 -0.17140356]
 [ 0.20406789  0.04344019]
 [ 0.30367726 -0.04249731]
 [ 0.34859914 -0.12062231]
 [ 0.30172414 -0.07374731]
 [ 0.35055226 -0.01905981]]","[[-0.02568359 -0.21748047]
 [-0.02568359 -0.20380859]
 [-0.02568359 -0.17060547]
 [-0.01663524 -0.23780981]
 [-0.01663524 -0.25343481]
 [-0.01663524 -0.16554418]
 [-0.01663524 -0.27101293]
 [-0.01663524 -0.29249731]
 [ 0.02828664 -0.25734106]
 [-0.02568359 -0.30146484]
 [-0.02568359 -0.34443359]
 [-0.02568359 -0.07490234]
 [-0.01663524 -0.19484106]
 [ 0.03291016 -0.08271484]
 [ 0.03486328 -0.13740234]
 [ 0.10055226 -0.12452856]
 [ 0.10055226 -0.06984106]
 [ 0.09150391 -0.01240234]
 [ 0.08955078 -0.17060547]
 [ 0.08955078 -0.08076172]
 [ 0.09150391 -0.14912109]
 [-0.02568359 -0.17841797]
 [ 0.09859914 -0.17140356]
 [ 0.09859914  0.04344019]
 [ 0.04391164 -0.04249731]
 [ 0.04586476 -0.12062231]
 [ 0.04391164 -0.07374731]
 [ 0.04586476 -0.01905981]]"
4,"[[ 0.03023976 -0.12405711]
 [-0.01663524 -0.12015086]
 [-0.01663524 -0.07327586]
 [-0.04561121 -0.13476562]
 [ 0.00126379 -0.13671875]
 [ 0.05204504 -0.09570312]
 [ 0.00126379 -0.13867188]
 [ 0.00517004 -0.09179688]
 [ 0.03219289 -0.07718211]
 [ 0.03414601 -0.03421336]
 [ 0.00517004 -0.09765625]
 [-0.04365809 -0.08984375]
 [-0.00068934 -0.18945312]
 [-0.09248621 -0.13476562]]","[[-0.12405711 -0.15382543]
 [-0.12015086 -0.13038793]
 [-0.07327586 -0.11671606]
 [-0.13476562 -0.07134651]
 [-0.13671875 -0.10845588]
 [-0.09570312 -0.06158088]
 [-0.13867188 -0.03228401]
 [-0.09179688 -0.06744026]
 [-0.07718211 -0.15382543]
 [-0.03421336 -0.20070043]
 [-0.09765625 -0.23931526]
 [-0.08984375 -0.03619026]
 [-0.18945312  0.02630974]
 [-0.13476562 -0.05376838]]","[[ 0.03023976 -0.15382543]
 [-0.01663524 -0.13038793]
 [-0.01663524 -0.11671606]
 [-0.04561121 -0.07134651]
 [ 0.00126379 -0.10845588]
 [ 0.05204504 -0.06158088]
 [ 0.00126379 -0.03228401]
 [ 0.00517004 -0.06744026]
 [ 0.03219289 -0.15382543]
 [ 0.03414601 -0.20070043]
 [ 0.00517004 -0.23931526]
 [-0.04365809 -0.03619026]
 [-0.00068934  0.02630974]
 [-0.09248621 -0.05376838]]"
5,"[[-0.14630127  0.22052002]
 [-0.14630127  0.26934814]
 [-0.09747314  0.21466064]
 [-0.09356689  0.26739502]
 [-0.14825439  0.17950439]
 [-0.14630127  0.22833252]
 [-0.14630127  0.27520752]
 [-0.19708252  0.17559814]
 [-0.19708252  0.32012939]
 [-0.19708252  0.20880127]
 [-0.19708252  0.25762939]
 [-0.19708252  0.30645752]
 [-0.05255127  0.16387939]
 [-0.05255127  0.16192627]
 [-0.04669189  0.20684814]
 [-0.04278564  0.25567627]
 [-0.09356689  0.24395752]
 [-0.04669189  0.22052002]]","[[0.22052002 0.2958374 ]
 [0.26934814 0.28216553]
 [0.21466064 0.3192749 ]
 [0.26739502 0.26654053]
 [0.17950439 0.22747803]
 [0.22833252 0.1630249 ]
 [0.27520752 0.17669678]
 [0.17559814 0.27825928]
 [0.32012939 0.2489624 ]
 [0.20880127 0.38568115]
 [0.25762939 0.3739624 ]
 [0.30645752 0.36029053]
 [0.16387939 0.31341553]
 [0.16192627 0.33294678]
 [0.20684814 0.35247803]
 [0.25567627 0.33294678]
 [0.24395752 0.4364624 ]
 [0.22052002 0.20404053]]","[[-0.14630127  0.2958374 ]
 [-0.14630127  0.28216553]
 [-0.09747314  0.3192749 ]
 [-0.09356689  0.26654053]
 [-0.14825439  0.22747803]
 [-0.14630127  0.1630249 ]
 [-0.14630127  0.17669678]
 [-0.19708252  0.27825928]
 [-0.19708252  0.2489624 ]
 [-0.19708252  0.38568115]
 [-0.19708252  0.3739624 ]
 [-0.19708252  0.36029053]
 [-0.05255127  0.31341553]
 [-0.05255127  0.33294678]
 [-0.04669189  0.35247803]
 [-0.04278564  0.33294678]
 [-0.09356689  0.4364624 ]
 [-0.04669189  0.20404053]]"
6,"[[-0.07272518 -0.01752068]
 [-0.07077206  0.03521369]
 [-0.07077206  0.08404182]
 [-0.07272518 -0.02923943]
 [-0.07077206  0.02349494]
 [-0.07077206  0.07232307]
 [-0.01608456  0.11529182]
 [-0.02194393  0.03326057]
 [-0.01803768  0.06646369]
 [ 0.02297794 -0.02533318]
 [ 0.02883732  0.01958869]
 [ 0.03274357  0.06060432]
 [-0.01608456  0.11529182]
 [-0.02389706 -0.03314568]
 [ 0.02883732 -0.00189568]
 [ 0.02883732  0.01372932]
 [-0.07077206  0.04302619]
 [-0.07077206  0.08990119]
 [-0.01608456  0.13286994]
 [-0.12155331  0.17779182]
 [-0.12155331  0.12115119]
 [ 0.03274357  0.04107307]
 [-0.01608456  0.08208869]
 [-0.01803768  0.03130744]
 [ 0.08938419  0.07036994]]","[[-0.01752068  0.13654642]
 [ 0.03521369  0.09748392]
 [ 0.08404182  0.08771829]
 [-0.02923943  0.19709329]
 [ 0.02349494  0.17951517]
 [ 0.07232307  0.16779642]
 [ 0.11529182  0.17756204]
 [ 0.03326057  0.09357767]
 [ 0.06646369  0.18732767]
 [-0.02533318  0.15021829]
 [ 0.01958869  0.16193704]
 [ 0.06060432  0.19709329]
 [ 0.11529182  0.17365579]
 [-0.03314568  0.20881204]
 [-0.00189568  0.26154642]
 [ 0.01372932  0.19318704]
 [ 0.04302619  0.02326517]
 [ 0.08990119  0.02326517]
 [ 0.13286994  0.05256204]
 [ 0.17779182  0.09748392]
 [ 0.12115119  0.16974954]
 [ 0.04107307  0.28889017]
 [ 0.08208869  0.33381204]
 [ 0.03130744  0.34162454]
 [ 0.07036994  0.33576517]]","[[-0.07272518  0.13654642]
 [-0.07077206  0.09748392]
 [-0.07077206  0.08771829]
 [-0.07272518  0.19709329]
 [-0.07077206  0.17951517]
 [-0.07077206  0.16779642]
 [-0.01608456  0.17756204]
 [-0.02194393  0.09357767]
 [-0.01803768  0.18732767]
 [ 0.02297794  0.15021829]
 [ 0.02883732  0.16193704]
 [ 0.03274357  0.19709329]
 [-0.01608456  0.17365579]
 [-0.02389706  0.20881204]
 [ 0.02883732  0.26154642]
 [ 0.02883732  0.19318704]
 [-0.07077206  0.02326517]
 [-0.07077206  0.02326517]
 [-0.01608456  0.05256204]
 [-0.12155331  0.09748392]
 [-0.12155331  0.16974954]
 [ 0.03274357  0.28889017]
 [-0.01608456  0.33381204]
 [-0.01803768  0.34162454]
 [ 0.08938419  0.33576517]]"
7,"[[-0.28038699  0.52925145]
 [-0.33507449  0.46870458]
 [-0.33116824  0.51362645]
 [-0.28038699  0.54292333]
 [-0.27648074  0.58979833]
 [-0.33702762  0.44136083]
 [-0.33507449  0.48823583]
 [-0.27648074  0.57612645]
 [-0.32530887  0.62104833]
 [-0.33702762  0.4081577 ]
 [-0.32921512  0.56050145]
 [-0.28429324  0.44331395]
 [-0.28038699  0.4940952 ]
 [-0.27648074  0.54292333]]","[[0.52925145 0.64235102]
 [0.46870458 0.72242914]
 [0.51362645 0.73805414]
 [0.54292333 0.54078852]
 [0.58979833 0.54664789]
 [0.44136083 0.62281977]
 [0.48823583 0.63063227]
 [0.57612645 0.64625727]
 [0.62104833 0.68336664]
 [0.4081577  0.77125727]
 [0.56050145 0.73805414]
 [0.44331395 0.80446039]
 [0.4940952  0.79274164]
 [0.54292333 0.79274164]]","[[-0.28038699  0.64235102]
 [-0.33507449  0.72242914]
 [-0.33116824  0.73805414]
 [-0.28038699  0.54078852]
 [-0.27648074  0.54664789]
 [-0.33702762  0.62281977]
 [-0.33507449  0.63063227]
 [-0.27648074  0.64625727]
 [-0.32530887  0.68336664]
 [-0.33702762  0.77125727]
 [-0.32921512  0.73805414]
 [-0.28429324  0.80446039]
 [-0.28038699  0.79274164]
 [-0.27648074  0.79274164]]"
8,"[[-0.1833917   0.25134698]
 [-0.17948545  0.30212823]
 [-0.1755792   0.34509698]
 [-0.18729795  0.22205011]
 [-0.23417295  0.27478448]
 [-0.17948545  0.31970636]
 [-0.1755792   0.34900323]
 [-0.18729795  0.20447198]
 [-0.18729795  0.18103448]
 [-0.1833917   0.23181573]
 [-0.12675108  0.27087823]
 [-0.22831358  0.35095636]]","[[0.25134698 0.31580011]
 [0.30212823 0.30212823]
 [0.34509698 0.32947198]
 [0.22205011 0.21619073]
 [0.27478448 0.20642511]
 [0.31970636 0.19470636]
 [0.34900323 0.30017511]
 [0.20447198 0.31189386]
 [0.18103448 0.40759698]
 [0.23181573 0.39783136]
 [0.27087823 0.41540948]
 [0.35095636 0.31384698]]","[[-0.1833917   0.31580011]
 [-0.17948545  0.30212823]
 [-0.1755792   0.32947198]
 [-0.18729795  0.21619073]
 [-0.23417295  0.20642511]
 [-0.17948545  0.19470636]
 [-0.1755792   0.30017511]
 [-0.18729795  0.31189386]
 [-0.18729795  0.40759698]
 [-0.1833917   0.39783136]
 [-0.12675108  0.41540948]
 [-0.22831358  0.31384698]]"
9,"[[-0.02265625 -0.0203125 ]
 [-0.12617187 -0.00273437]
 [ 0.00732422 -0.08837891]
 [-0.03369141  0.06005859]
 [ 0.01123047 -0.00634766]
 [ 0.01513672  0.04052734]
 [ 0.00732422 -0.06884766]
 [ 0.01123047 -0.02197266]
 [ 0.01513672  0.02294922]
 [-0.03369141  0.07373047]]","[[-0.0203125  -0.00859375]
 [-0.00273437 -0.075     ]
 [-0.08837891  0.0867513 ]
 [ 0.06005859  0.08479818]
 [-0.00634766 -0.09684245]
 [ 0.04052734 -0.09488932]
 [-0.06884766 -0.0069987 ]
 [-0.02197266  0.0008138 ]
 [ 0.02294922  0.01253255]
 [ 0.07373047  0.01839193]]","[[-0.02265625 -0.00859375]
 [-0.12617187 -0.075     ]
 [ 0.00732422  0.0867513 ]
 [-0.03369141  0.08479818]
 [ 0.01123047 -0.09684245]
 [ 0.01513672 -0.09488932]
 [ 0.00732422 -0.0069987 ]
 [ 0.01123047  0.0008138 ]
 [ 0.01513672  0.01253255]
 [-0.03369141  0.01839193]]"
