,xy,yz,xz
0,"[[-0.05887277 -0.02455357]
 [-0.05496652  0.01841518]
 [-0.00672743 -0.01866319]
 [ 0.01395089 -0.02957589]
 [ 0.01785714  0.01925223]
 [-0.05496652  0.0125558 ]
 [-0.01004464 -0.0733817 ]
 [-0.06141493 -0.06358507]
 [-0.05555556  0.03993056]
 [-0.04073661 -0.08231027]
 [-0.04073661 -0.05496652]
 [ 0.06668527 -0.01395089]
 [ 0.00846354  0.10888672]]","[[-0.02455357  0.0421317 ]
 [ 0.01841518  0.06361607]
 [-0.01866319  0.11219618]
 [-0.02957589  0.1046317 ]
 [ 0.01925223  0.0968192 ]
 [ 0.0125558   0.11635045]
 [-0.0733817   0.01674107]
 [-0.06358507  0.13758681]
 [ 0.03993056 -0.05967882]
 [-0.08231027  0.13002232]
 [-0.05496652  0.00111607]
 [-0.01395089  0.00892857]
 [ 0.10888672  0.05843099]]","[[-0.05887277  0.0421317 ]
 [-0.05496652  0.06361607]
 [-0.00672743  0.11219618]
 [ 0.01395089  0.1046317 ]
 [ 0.01785714  0.0968192 ]
 [-0.05496652  0.11635045]
 [-0.01004464  0.01674107]
 [-0.06141493  0.13758681]
 [-0.05555556 -0.05967882]
 [-0.04073661  0.13002232]
 [-0.04073661  0.00111607]
 [ 0.06668527  0.00892857]
 [ 0.00846354  0.05843099]]"
1,"[[ 0.05309775  0.01612464]
 [ 0.05114462 -0.02879724]
 [ 0.09801962 -0.02879724]
 [ 0.10192587  0.01807776]
 [ 0.103879    0.06690589]
 [ 0.05114462 -0.02293786]
 [ 0.05114462 -0.02489099]
 [ 0.05309775  0.02198401]
 [ 0.09801962 -0.03856286]
 [ 0.00426962  0.02198401]
 [ 0.0960665  -0.07567224]
 [ 0.05309775  0.02393714]
 [ 0.05505087  0.06885901]]","[[ 0.01612464 -0.2265625 ]
 [-0.02879724 -0.1953125 ]
 [-0.02879724 -0.18359375]
 [ 0.01807776 -0.17382812]
 [ 0.06690589 -0.13671875]
 [-0.02293786 -0.0859375 ]
 [-0.02489099 -0.13867188]
 [ 0.02198401 -0.12890625]
 [-0.03856286 -0.27734375]
 [ 0.02198401 -0.16601562]
 [-0.07567224 -0.16796875]
 [ 0.02393714 -0.04882812]
 [ 0.06885901 -0.0078125 ]]","[[ 0.05309775 -0.2265625 ]
 [ 0.05114462 -0.1953125 ]
 [ 0.09801962 -0.18359375]
 [ 0.10192587 -0.17382812]
 [ 0.103879   -0.13671875]
 [ 0.05114462 -0.0859375 ]
 [ 0.05114462 -0.13867188]
 [ 0.05309775 -0.12890625]
 [ 0.09801962 -0.27734375]
 [ 0.00426962 -0.16601562]
 [ 0.0960665  -0.16796875]
 [ 0.05309775 -0.04882812]
 [ 0.05505087 -0.0078125 ]]"
2,"[[-0.2212358   0.73728693]
 [-0.22709517  0.63963068]
 [-0.16850142  0.68650568]
 [-0.16459517  0.73338068]
 [-0.22709517  0.63963068]
 [-0.16850142  0.68650568]
 [-0.27787642  0.78806818]
 [-0.22514205  0.68455256]
 [-0.2212358   0.73142756]
 [-0.27787642  0.78611506]]","[[0.73728693 0.37794744]
 [0.63963068 0.43068182]
 [0.68650568 0.30372869]
 [0.73338068 0.29005682]
 [0.63963068 0.45216619]
 [0.68650568 0.37404119]
 [0.78806818 0.34669744]
 [0.68455256 0.46779119]
 [0.73142756 0.47755682]
 [0.78611506 0.35450994]]","[[-0.2212358   0.37794744]
 [-0.22709517  0.43068182]
 [-0.16850142  0.30372869]
 [-0.16459517  0.29005682]
 [-0.22709517  0.45216619]
 [-0.16850142  0.37404119]
 [-0.27787642  0.34669744]
 [-0.22514205  0.46779119]
 [-0.2212358   0.47755682]
 [-0.27787642  0.35450994]]"
3,"[[-0.16567297  0.11173931]
 [-0.16567297  0.10587993]
 [-0.21059485  0.02384868]
 [-0.2457511   0.07462993]
 [-0.16176672  0.15666118]
 [-0.1988761   0.20939556]
 [-0.2457511   0.07267681]
 [-0.16176672  0.15666118]
 [-0.1988761   0.20548931]
 [-0.20473547  0.10197368]
 [-0.16176672  0.15275493]
 [-0.1988761   0.20158306]]","[[0.11173931 0.3117119 ]
 [0.10587993 0.3585869 ]
 [0.02384868 0.29218065]
 [0.07462993 0.25311815]
 [0.15666118 0.33710252]
 [0.20939556 0.30975877]
 [0.07267681 0.29218065]
 [0.15666118 0.33905565]
 [0.20548931 0.34882127]
 [0.10197368 0.39569627]
 [0.15275493 0.35663377]
 [0.20158306 0.37225877]]","[[-0.16567297  0.3117119 ]
 [-0.16567297  0.3585869 ]
 [-0.21059485  0.29218065]
 [-0.2457511   0.25311815]
 [-0.16176672  0.33710252]
 [-0.1988761   0.30975877]
 [-0.2457511   0.29218065]
 [-0.16176672  0.33905565]
 [-0.1988761   0.34882127]
 [-0.20473547  0.39569627]
 [-0.16176672  0.35663377]
 [-0.1988761   0.37225877]]"
4,"[[ 0.06494141 -0.10791016]
 [ 0.02197266 -0.16259766]
 [ 0.02587891 -0.11572266]
 [ 0.02783203 -0.06884766]
 [ 0.02197266 -0.14892578]
 [ 0.06494141 -0.10400391]
 [-0.01708984 -0.19384766]
 [ 0.06103516 -0.15673828]
 [ 0.02783203 -0.05712891]
 [ 0.03173828 -0.01025391]]","[[-0.10791016 -0.09375   ]
 [-0.16259766 -0.00585938]
 [-0.11572266 -0.00195312]
 [-0.06884766 -0.00195312]
 [-0.14892578 -0.14257812]
 [-0.10400391 -0.17578125]
 [-0.19384766 -0.12304688]
 [-0.15673828 -0.08007812]
 [-0.05712891 -0.11523438]
 [-0.01025391 -0.09960938]]","[[ 0.06494141 -0.09375   ]
 [ 0.02197266 -0.00585938]
 [ 0.02587891 -0.00195312]
 [ 0.02783203 -0.00195312]
 [ 0.02197266 -0.14257812]
 [ 0.06494141 -0.17578125]
 [-0.01708984 -0.12304688]
 [ 0.06103516 -0.08007812]
 [ 0.02783203 -0.11523438]
 [ 0.03173828 -0.09960938]]"
5,"[[ 0.03385417  0.10221354]
 [ 0.02994792  0.05143229]
 [-0.0171875  -0.01757812]
 [-0.01523438  0.03320312]
 [ 0.02382812 -0.02734375]
 [-0.01523438  0.02929688]
 [-0.03574219 -0.05625   ]
 [-0.01888021  0.15299479]
 [ 0.03385417  0.08854167]
 [ 0.0296224   0.1624349 ]
 [ 0.02571615  0.12532552]
 [ 0.0296224   0.15071615]
 [ 0.01992187 -0.08203125]
 [-0.01328125  0.08203125]
 [ 0.02382812 -0.05078125]
 [-0.01523438  0.0234375 ]
 [ 0.02382812 -0.01367188]
 [-0.03769531 -0.14609375]
 [ 0.00332031 -0.09921875]
 [-0.03769531 -0.15195312]
 [ 0.04238281 -0.10898437]
 [-0.03574219 -0.05039062]
 [-0.03769531 -0.103125  ]]","[[ 0.10221354 -0.01801215]
 [ 0.05143229  0.01323785]
 [-0.01757812  0.01953125]
 [ 0.03320312 -0.0390625 ]
 [-0.02734375  0.07617188]
 [ 0.02929688  0.01953125]
 [-0.05625     0.06542969]
 [ 0.15299479 -0.0375434 ]
 [ 0.08854167  0.09722222]
 [ 0.1624349  -0.03125   ]
 [ 0.12532552 -0.109375  ]
 [ 0.15071615  0.046875  ]
 [-0.08203125  0.125     ]
 [ 0.08203125 -0.10351562]
 [-0.05078125  0.19726562]
 [ 0.0234375   0.06054688]
 [-0.01367188 -0.07421875]
 [-0.14609375 -0.00488281]
 [-0.09921875 -0.03808594]
 [-0.15195312  0.08496094]
 [-0.10898437  0.06933594]
 [-0.05039062 -0.06738281]
 [-0.103125    0.06152344]]","[[ 0.03385417 -0.01801215]
 [ 0.02994792  0.01323785]
 [-0.0171875   0.01953125]
 [-0.01523438 -0.0390625 ]
 [ 0.02382812  0.07617188]
 [-0.01523438  0.01953125]
 [-0.03574219  0.06542969]
 [-0.01888021 -0.0375434 ]
 [ 0.03385417  0.09722222]
 [ 0.0296224  -0.03125   ]
 [ 0.02571615 -0.109375  ]
 [ 0.0296224   0.046875  ]
 [ 0.01992187  0.125     ]
 [-0.01328125 -0.10351562]
 [ 0.02382812  0.19726562]
 [-0.01523438  0.06054688]
 [ 0.02382812 -0.07421875]
 [-0.03769531 -0.00488281]
 [ 0.00332031 -0.03808594]
 [-0.03769531  0.08496094]
 [ 0.04238281  0.06933594]
 [-0.03574219 -0.06738281]
 [-0.03769531  0.06152344]]"
6,"[[-0.18926258  0.21608232]
 [-0.14629383  0.26100419]
 [-0.14238758  0.30592607]
 [-0.18730945  0.26100419]
 [-0.18535633  0.30787919]
 [-0.22832508  0.26100419]
 [-0.10137195  0.30397294]
 [-0.14043445  0.35475419]
 [-0.18926258  0.16920732]
 [-0.14043445  0.35084794]
 [-0.18926258  0.16139482]
 [-0.22832508  0.21412919]
 [-0.1834032   0.34303544]
 [-0.22832508  0.21022294]
 [-0.22832508  0.30983232]]","[[0.21608232 0.1878811 ]
 [0.26100419 0.20741235]
 [0.30592607 0.21717797]
 [0.26100419 0.24647485]
 [0.30787919 0.25428735]
 [0.26100419 0.23866235]
 [0.30397294 0.1566311 ]
 [0.35475419 0.2035061 ]
 [0.16920732 0.2113186 ]
 [0.35084794 0.28358422]
 [0.16139482 0.31092797]
 [0.21412919 0.24842797]
 [0.34303544 0.37342797]
 [0.21022294 0.2972561 ]
 [0.30983232 0.14491235]]","[[-0.18926258  0.1878811 ]
 [-0.14629383  0.20741235]
 [-0.14238758  0.21717797]
 [-0.18730945  0.24647485]
 [-0.18535633  0.25428735]
 [-0.22832508  0.23866235]
 [-0.10137195  0.1566311 ]
 [-0.14043445  0.2035061 ]
 [-0.18926258  0.2113186 ]
 [-0.14043445  0.28358422]
 [-0.18926258  0.31092797]
 [-0.22832508  0.24842797]
 [-0.1834032   0.37342797]
 [-0.22832508  0.2972561 ]
 [-0.22832508  0.14491235]]"
7,"[[ 0.04708615  0.06118032]
 [ 0.00607052  0.06899282]
 [ 0.04708615  0.06508657]
 [ 0.00802365  0.1139147 ]
 [ 0.00607052  0.0670397 ]
 [ 0.04708615  0.04946157]
 [ 0.0509924   0.0982897 ]
 [ 0.0041174   0.01430532]
 [ 0.0509924   0.11000845]
 [ 0.05294552  0.15883657]
 [-0.0349451   0.0201647 ]
 [ 0.0509924   0.1061022 ]
 [ 0.04513302  0.01430532]
 [ 0.00997677  0.16274282]
 [ 0.0041174   0.02211782]
 [ 0.00802365  0.1139147 ]
 [ 0.00997677  0.1607897 ]]","[[ 0.06118032 -0.12642525]
 [ 0.06899282  0.02005912]
 [ 0.06508657 -0.06587838]
 [ 0.1139147  -0.0522065 ]
 [ 0.0670397   0.033731  ]
 [ 0.04946157 -0.22017525]
 [ 0.0982897  -0.21040963]
 [ 0.01430532 -0.1459565 ]
 [ 0.11000845 -0.106894  ]
 [ 0.15883657 -0.05415963]
 [ 0.0201647  -0.06197213]
 [ 0.1061022   0.127481  ]
 [ 0.01430532 -0.12837838]
 [ 0.16274282 -0.02681588]
 [ 0.02211782 -0.00923775]
 [ 0.1139147   0.0727935 ]
 [ 0.1607897   0.07474662]]","[[ 0.04708615 -0.12642525]
 [ 0.00607052  0.02005912]
 [ 0.04708615 -0.06587838]
 [ 0.00802365 -0.0522065 ]
 [ 0.00607052  0.033731  ]
 [ 0.04708615 -0.22017525]
 [ 0.0509924  -0.21040963]
 [ 0.0041174  -0.1459565 ]
 [ 0.0509924  -0.106894  ]
 [ 0.05294552 -0.05415963]
 [-0.0349451  -0.06197213]
 [ 0.0509924   0.127481  ]
 [ 0.04513302 -0.12837838]
 [ 0.00997677 -0.02681588]
 [ 0.0041174  -0.00923775]
 [ 0.00802365  0.0727935 ]
 [ 0.00997677  0.07474662]]"
8,"[[ 0.0262523  -0.16555607]
 [ 0.03015855 -0.12063419]
 [ 0.03211167 -0.06985294]
 [-0.0128102  -0.11086857]
 [-0.0128102  -0.11086857]
 [-0.01085708 -0.06594669]
 [-0.0128102  -0.11868107]
 [-0.05577895 -0.06985294]
 [-0.05577895 -0.11282169]
 [-0.01085708 -0.06594669]
 [ 0.03211167 -0.06399357]
 [ 0.0262523  -0.16946232]
 [-0.05577895 -0.16750919]]","[[-0.16555607 -0.27630974]
 [-0.12063419 -0.28607537]
 [-0.06985294 -0.24115349]
 [-0.11086857 -0.18255974]
 [-0.11086857 -0.17865349]
 [-0.06594669 -0.23920037]
 [-0.11868107 -0.28802849]
 [-0.06985294 -0.27435662]
 [-0.11282169 -0.22748162]
 [-0.06594669 -0.24115349]
 [-0.06399357 -0.12982537]
 [-0.16946232 -0.29388787]
 [-0.16750919 -0.30951287]]","[[ 0.0262523  -0.27630974]
 [ 0.03015855 -0.28607537]
 [ 0.03211167 -0.24115349]
 [-0.0128102  -0.18255974]
 [-0.0128102  -0.17865349]
 [-0.01085708 -0.23920037]
 [-0.0128102  -0.28802849]
 [-0.05577895 -0.27435662]
 [-0.05577895 -0.22748162]
 [-0.01085708 -0.24115349]
 [ 0.03211167 -0.12982537]
 [ 0.0262523  -0.29388787]
 [-0.05577895 -0.30951287]]"
9,"[[ 0.02903294  0.26446368]
 [ 0.08176731  0.21368243]
 [-0.02760769  0.31719806]
 [ 0.13645481  0.20586993]
 [ 0.08567356  0.25860431]
 [ 0.03098606  0.30547931]
 [ 0.02903294  0.26836993]
 [-0.02760769  0.31719806]
 [-0.02956081  0.22149493]
 [-0.02956081  0.22344806]]","[[ 0.26446368 -0.10842483]
 [ 0.21368243 -0.11819046]
 [ 0.31719806 -0.04397171]
 [ 0.20586993 -0.11819046]
 [ 0.25860431 -0.13186233]
 [ 0.30547931 -0.18069046]
 [ 0.26836993 -0.01858108]
 [ 0.31719806 -0.02444046]
 [ 0.22149493 -0.10256546]
 [ 0.22344806 -0.03811233]]","[[ 0.02903294 -0.10842483]
 [ 0.08176731 -0.11819046]
 [-0.02760769 -0.04397171]
 [ 0.13645481 -0.11819046]
 [ 0.08567356 -0.13186233]
 [ 0.03098606 -0.18069046]
 [ 0.02903294 -0.01858108]
 [-0.02760769 -0.02444046]
 [-0.02956081 -0.10256546]
 [-0.02956081 -0.03811233]]"
