,xy,yz,xz
0,"[[-0.01367188 -0.04931641]
 [-0.01367188  0.02685547]
 [ 0.04101562 -0.01416016]
 [-0.01367188  0.03662109]
 [-0.01367188 -0.04931641]
 [-0.01367188  0.02685547]
 [ 0.04101562 -0.01416016]
 [-0.01367188  0.03662109]
 [-0.01367188 -0.04931641]
 [-0.01367188  0.02685547]
 [ 0.04101562 -0.01416016]
 [-0.01367188  0.03662109]
 [ 0.          0.        ]
 [ 0.07682292  0.00260417]
 [-0.03841146 -0.02669271]
 [-0.03841146  0.02408854]
 [ 0.         -0.04443359]
 [ 0.          0.00830078]
 [ 0.         -0.00537109]
 [ 0.          0.04150391]
 [ 0.         -0.04443359]
 [ 0.          0.00830078]
 [ 0.         -0.00537109]]","[[-0.04931641  0.21826172]
 [ 0.02685547  0.04052734]
 [-0.01416016 -0.09228516]
 [ 0.03662109 -0.16650391]
 [-0.04931641  0.21826172]
 [ 0.02685547  0.04052734]
 [-0.01416016 -0.09228516]
 [ 0.03662109 -0.16650391]
 [-0.04931641  0.21826172]
 [ 0.02685547  0.04052734]
 [-0.01416016 -0.09228516]
 [ 0.03662109 -0.16650391]
 [ 0.          0.        ]
 [ 0.00260417  0.11979167]
 [-0.02669271  0.00260417]
 [ 0.02408854 -0.12239583]
 [-0.04443359  0.17333984]
 [ 0.00830078  0.14794922]
 [-0.00537109 -0.16064453]
 [ 0.04150391 -0.16064453]
 [-0.04443359  0.17333984]
 [ 0.00830078  0.14794922]
 [-0.00537109 -0.16064453]]","[[-0.01367188  0.21826172]
 [-0.01367188  0.04052734]
 [ 0.04101562 -0.09228516]
 [-0.01367188 -0.16650391]
 [-0.01367188  0.21826172]
 [-0.01367188  0.04052734]
 [ 0.04101562 -0.09228516]
 [-0.01367188 -0.16650391]
 [-0.01367188  0.21826172]
 [-0.01367188  0.04052734]
 [ 0.04101562 -0.09228516]
 [-0.01367188 -0.16650391]
 [ 0.          0.        ]
 [ 0.07682292  0.11979167]
 [-0.03841146  0.00260417]
 [-0.03841146 -0.12239583]
 [ 0.          0.17333984]
 [ 0.          0.14794922]
 [ 0.         -0.16064453]
 [ 0.         -0.16064453]
 [ 0.          0.17333984]
 [ 0.          0.14794922]
 [ 0.         -0.16064453]]"
1,"[[ 0.          0.04150391]
 [-0.02832031 -0.05224609]
 [-0.02832031  0.00830078]
 [ 0.02832031 -0.00341797]
 [ 0.02832031  0.04736328]
 [-0.00048828 -0.03125   ]
 [-0.05712891  0.        ]
 [-0.00048828  0.0078125 ]
 [ 0.05810547  0.0234375 ]
 [-0.01416016 -0.04785156]
 [-0.01416016  0.02441406]
 [ 0.04248047 -0.01660156]
 [-0.01416016  0.04003906]
 [-0.01416016 -0.04785156]
 [-0.01416016  0.02441406]
 [ 0.04248047 -0.01660156]
 [-0.01416016  0.04003906]
 [-0.01328125 -0.05859375]
 [-0.01132812 -0.02148438]
 [-0.01132812  0.02539062]
 [-0.01132812  0.00585938]
 [ 0.04726563  0.04882812]
 [ 0.03242188 -0.06367188]]","[[ 0.04150391 -0.16064453]
 [-0.05224609  0.13232422]
 [ 0.00830078  0.08935547]
 [-0.00341797 -0.09423828]
 [ 0.04736328 -0.12744141]
 [-0.03125     0.06347656]
 [ 0.          0.13183594]
 [ 0.0078125  -0.21386719]
 [ 0.0234375   0.01855469]
 [-0.04785156  0.15087891]
 [ 0.02441406  0.01416016]
 [-0.01660156 -0.03271484]
 [ 0.04003906 -0.13232422]
 [-0.04785156  0.15087891]
 [ 0.02441406  0.01416016]
 [-0.01660156 -0.03271484]
 [ 0.04003906 -0.13232422]
 [-0.05859375  0.04492188]
 [-0.02148438  0.09765625]
 [ 0.02539062  0.10546875]
 [ 0.00585938 -0.13867188]
 [ 0.04882812 -0.109375  ]
 [-0.06367188  0.05351563]]","[[ 0.         -0.16064453]
 [-0.02832031  0.13232422]
 [-0.02832031  0.08935547]
 [ 0.02832031 -0.09423828]
 [ 0.02832031 -0.12744141]
 [-0.00048828  0.06347656]
 [-0.05712891  0.13183594]
 [-0.00048828 -0.21386719]
 [ 0.05810547  0.01855469]
 [-0.01416016  0.15087891]
 [-0.01416016  0.01416016]
 [ 0.04248047 -0.03271484]
 [-0.01416016 -0.13232422]
 [-0.01416016  0.15087891]
 [-0.01416016  0.01416016]
 [ 0.04248047 -0.03271484]
 [-0.01416016 -0.13232422]
 [-0.01328125  0.04492188]
 [-0.01132812  0.09765625]
 [-0.01132812  0.10546875]
 [-0.01132812 -0.13867188]
 [ 0.04726563 -0.109375  ]
 [ 0.03242188  0.05351563]]"
2,"[[ 0.034375   -0.0265625 ]
 [-0.02226563 -0.003125  ]
 [-0.02226563  0.02226562]
 [ 0.         -0.02783203]
 [ 0.          0.02490234]
 [ 0.         -0.02197266]
 [ 0.          0.02490234]
 [ 0.          0.        ]
 [-0.02226563  0.07109375]
 [ 0.16375411  0.41971628]
 [ 0.16375411  0.46463816]
 [ 0.16180099  0.36893503]
 [ 0.16375411  0.41776316]
 [ 0.16375411  0.46659128]
 [ 0.10711349  0.17166941]
 [ 0.10711349  0.22049753]
 [ 0.10711349  0.18143503]
 [ 0.10711349  0.22831003]
 [ 0.10711349  0.17166941]
 [ 0.10711349  0.22049753]]","[[-0.0265625   0.09648438]
 [-0.003125    0.18632813]
 [ 0.02226562 -0.16523437]
 [-0.02783203  0.10888672]
 [ 0.02490234 -0.02783203]
 [-0.02197266 -0.05322266]
 [ 0.02490234 -0.02783203]
 [ 0.          0.        ]
 [ 0.07109375 -0.17109375]
 [ 0.41971628  0.09457237]
 [ 0.46463816  0.00472862]
 [ 0.36893503 -0.02652138]
 [ 0.41776316 -0.00699013]
 [ 0.46659128  0.05550987]
 [ 0.17166941 -0.13589638]
 [ 0.22049753 -0.13394326]
 [ 0.18143503 -0.03824013]
 [ 0.22831003 -0.06167763]
 [ 0.17166941 -0.14761513]
 [ 0.22049753 -0.13394326]]","[[ 0.034375    0.09648438]
 [-0.02226563  0.18632813]
 [-0.02226563 -0.16523437]
 [ 0.          0.10888672]
 [ 0.         -0.02783203]
 [ 0.         -0.05322266]
 [ 0.         -0.02783203]
 [ 0.          0.        ]
 [-0.02226563 -0.17109375]
 [ 0.16375411  0.09457237]
 [ 0.16375411  0.00472862]
 [ 0.16180099 -0.02652138]
 [ 0.16375411 -0.00699013]
 [ 0.16375411  0.05550987]
 [ 0.10711349 -0.13589638]
 [ 0.10711349 -0.13394326]
 [ 0.10711349 -0.03824013]
 [ 0.10711349 -0.06167763]
 [ 0.10711349 -0.14761513]
 [ 0.10711349 -0.13394326]]"
3,"[[ 0.03180804 -0.0640811 ]
 [ 0.08258929 -0.0172061 ]
 [ 0.03180804 -0.06017485]
 [ 0.03376116 -0.01134673]
 [ 0.03180804 -0.06212798]
 [ 0.03376116 -0.01134673]
 [ 0.09821429  0.2249814 ]
 [ 0.03962054  0.21521577]
 [ 0.04157366  0.26795015]
 [ 0.09430804  0.16638765]
 [ 0.09821429  0.22302827]
 [ 0.03962054  0.17420015]
 [ 0.09821429  0.2249814 ]
 [ 0.09430804  0.18005952]
 [ 0.03962054  0.23084077]
 [ 0.09430804  0.1702939 ]
 [ 0.09821429  0.22302827]
 [ 0.03962054  0.15857515]]","[[-0.0640811  -0.3139881 ]
 [-0.0172061  -0.29640997]
 [-0.06017485 -0.2827381 ]
 [-0.01134673 -0.2671131 ]
 [-0.06212798 -0.30226935]
 [-0.01134673 -0.27101935]
 [ 0.2249814  -0.0327381 ]
 [ 0.21521577  0.11960565]
 [ 0.26795015  0.06296503]
 [ 0.16638765 -0.33547247]
 [ 0.22302827 -0.24758185]
 [ 0.17420015 -0.2905506 ]
 [ 0.2249814  -0.20851935]
 [ 0.18005952 -0.11476935]
 [ 0.23084077 -0.1108631 ]
 [ 0.1702939   0.07273065]
 [ 0.22302827  0.0219494 ]
 [ 0.15857515  0.18796503]]","[[ 0.03180804 -0.3139881 ]
 [ 0.08258929 -0.29640997]
 [ 0.03180804 -0.2827381 ]
 [ 0.03376116 -0.2671131 ]
 [ 0.03180804 -0.30226935]
 [ 0.03376116 -0.27101935]
 [ 0.09821429 -0.0327381 ]
 [ 0.03962054  0.11960565]
 [ 0.04157366  0.06296503]
 [ 0.09430804 -0.33547247]
 [ 0.09821429 -0.24758185]
 [ 0.03962054 -0.2905506 ]
 [ 0.09821429 -0.20851935]
 [ 0.09430804 -0.11476935]
 [ 0.03962054 -0.1108631 ]
 [ 0.09430804  0.07273065]
 [ 0.09821429  0.0219494 ]
 [ 0.03962054  0.18796503]]"
4,"[[ 0.03212891  0.19301758]
 [ 0.03212891  0.23989258]
 [ 0.03212891  0.1871582 ]
 [ 0.08291016  0.2340332 ]
 [ 0.03212891  0.28676758]
 [ 0.03212891  0.1793457 ]
 [ 0.03212891  0.23598633]
 [-0.03037109  0.48012695]
 [-0.03232422  0.52114258]
 [ 0.03212891  0.5074707 ]
 [ 0.03212891  0.48012695]
 [ 0.22548828 -0.71518555]
 [ 0.28212891 -0.7112793 ]
 [ 0.28798828 -0.72104492]]","[[ 0.19301758  0.43647461]
 [ 0.23989258  0.44233398]
 [ 0.1871582   0.57319336]
 [ 0.2340332   0.56342773]
 [ 0.28676758  0.45209961]
 [ 0.1793457   0.63764648]
 [ 0.23598633  0.54975586]
 [ 0.48012695 -0.40727539]
 [ 0.52114258 -0.42680664]
 [ 0.5074707  -0.34477539]
 [ 0.48012695 -0.51469727]
 [-0.71518555 -0.96782227]
 [-0.7112793  -1.00883789]
 [-0.72104492 -1.06352539]]","[[ 0.03212891  0.43647461]
 [ 0.03212891  0.44233398]
 [ 0.03212891  0.57319336]
 [ 0.08291016  0.56342773]
 [ 0.03212891  0.45209961]
 [ 0.03212891  0.63764648]
 [ 0.03212891  0.54975586]
 [-0.03037109 -0.40727539]
 [-0.03232422 -0.42680664]
 [ 0.03212891 -0.34477539]
 [ 0.03212891 -0.51469727]
 [ 0.22548828 -0.96782227]
 [ 0.28212891 -1.00883789]
 [ 0.28798828 -1.06352539]]"
5,"[[ 0.08876953  0.47231445]
 [ 0.09072266  0.51918945]
 [ 0.03212891  0.52114258]
 [ 0.14736328  0.4684082 ]
 [ 0.08681641  0.37856445]
 [ 0.14345703  0.4137207 ]
 [-0.25888672  0.15786133]
 [-0.31748047  0.20083008]
 [-0.37802734  0.2340332 ]
 [-0.35458984  0.1402832 ]
 [-0.31748047  0.1949707 ]
 [-0.32724609  0.24379883]
 [-0.30576172  0.13833008]
 [-0.31748047  0.19301758]
 [-0.37802734  0.2340332 ]
 [-0.31748047  0.17348633]
 [ 0.04827009  0.20725446]
 [ 0.04827009  0.15842634]
 [ 0.04827009  0.25998884]]","[[0.47231445 0.35639648]
 [0.51918945 0.35444336]
 [0.52114258 0.39350586]
 [0.4684082  0.53413086]
 [0.37856445 0.49506836]
 [0.4137207  0.62397461]
 [0.15786133 0.57905273]
 [0.20083008 0.48139648]
 [0.2340332  0.42866211]
 [0.1402832  0.53608398]
 [0.1949707  0.56928711]
 [0.24379883 0.53217773]
 [0.13833008 0.65717773]
 [0.19301758 0.58491211]
 [0.2340332  0.48334961]
 [0.17348633 0.72163086]
 [0.20725446 0.10351562]
 [0.15842634 0.13476562]
 [0.25998884 0.02929688]]","[[ 0.08876953  0.35639648]
 [ 0.09072266  0.35444336]
 [ 0.03212891  0.39350586]
 [ 0.14736328  0.53413086]
 [ 0.08681641  0.49506836]
 [ 0.14345703  0.62397461]
 [-0.25888672  0.57905273]
 [-0.31748047  0.48139648]
 [-0.37802734  0.42866211]
 [-0.35458984  0.53608398]
 [-0.31748047  0.56928711]
 [-0.32724609  0.53217773]
 [-0.30576172  0.65717773]
 [-0.31748047  0.58491211]
 [-0.37802734  0.48334961]
 [-0.31748047  0.72163086]
 [ 0.04827009  0.10351562]
 [ 0.04827009  0.13476562]
 [ 0.04827009  0.02929688]]"
6,"[[ 0.04827009  0.07834821]
 [ 0.04827009  0.13694196]
 [ 0.04827009  0.18967634]
 [ 0.04827009  0.06858259]
 [ 0.04827009  0.11936384]
 [ 0.04827009  0.15452009]
 [ 0.10491071  0.12522321]
 [ 0.10491071  0.13889509]
 [ 0.04827009  0.15452009]
 [ 0.04827009  0.20725446]
 [-0.05133929 -0.02516741]
 [-0.00251116  0.02366071]
 [-0.05133929 -0.03493304]
 [ 0.04827009  0.01975446]
 [ 0.04827009  0.07053571]
 [-0.10212054 -0.02907366]
 [ 0.04827009  0.01780134]
 [ 0.04827009 -0.03883929]
 [ 0.04827009  0.01194196]]","[[ 0.07834821  0.34375   ]
 [ 0.13694196  0.28710938]
 [ 0.18967634  0.25585938]
 [ 0.06858259  0.38867188]
 [ 0.11936384  0.37109375]
 [ 0.15452009  0.42382812]
 [ 0.12522321  0.34179688]
 [ 0.13889509  0.2734375 ]
 [ 0.15452009  0.16992188]
 [ 0.20725446  0.11523438]
 [-0.02516741  0.03125   ]
 [ 0.02366071  0.02539062]
 [-0.03493304  0.14648438]
 [ 0.01975446  0.11132812]
 [ 0.07053571  0.04296875]
 [-0.02907366  0.01953125]
 [ 0.01780134  0.13476562]
 [-0.03883929  0.20117188]
 [ 0.01194196  0.1875    ]]","[[ 0.04827009  0.34375   ]
 [ 0.04827009  0.28710938]
 [ 0.04827009  0.25585938]
 [ 0.04827009  0.38867188]
 [ 0.04827009  0.37109375]
 [ 0.04827009  0.42382812]
 [ 0.10491071  0.34179688]
 [ 0.10491071  0.2734375 ]
 [ 0.04827009  0.16992188]
 [ 0.04827009  0.11523438]
 [-0.05133929  0.03125   ]
 [-0.00251116  0.02539062]
 [-0.05133929  0.14648438]
 [ 0.04827009  0.11132812]
 [ 0.04827009  0.04296875]
 [-0.10212054  0.01953125]
 [ 0.04827009  0.13476562]
 [ 0.04827009  0.20117188]
 [ 0.04827009  0.1875    ]]"
7,"[[ 0.10491071  0.16428571]
 [ 0.10491071  0.21116071]
 [ 0.04827009  0.25998884]
 [-0.12081909  0.33535767]
 [-0.21456909  0.09317017]
 [-0.21847534  0.13613892]
 [-0.16964722  0.17715454]
 [-0.12081909  0.27676392]
 [-0.16378784  0.08731079]
 [-0.16769409  0.13613892]
 [-0.06417847  0.29043579]
 [-0.18136597  0.38027954]]","[[0.16428571 0.02539062]
 [0.21116071 0.02539062]
 [0.25998884 0.        ]
 [0.33535767 0.32836914]
 [0.09317017 0.33618164]
 [0.13613892 0.37329102]
 [0.17715454 0.44750977]
 [0.27676392 0.42602539]
 [0.08731079 0.41235352]
 [0.13613892 0.40454102]
 [0.29043579 0.31469727]
 [0.38027954 0.32055664]]","[[ 0.10491071  0.02539062]
 [ 0.10491071  0.02539062]
 [ 0.04827009  0.        ]
 [-0.12081909  0.32836914]
 [-0.21456909  0.33618164]
 [-0.21847534  0.37329102]
 [-0.16964722  0.44750977]
 [-0.12081909  0.42602539]
 [-0.16378784  0.41235352]
 [-0.16769409  0.40454102]
 [-0.06417847  0.31469727]
 [-0.18136597  0.32055664]]"
8,"[[-0.11691284  0.19082642]
 [-0.16378784  0.08731079]
 [-0.16769409  0.13418579]
 [-0.16964722  0.18496704]
 [-0.11886597  0.24160767]
 [-0.21456909  0.06777954]
 [-0.16769409  0.12051392]
 [-0.16964722  0.16348267]
 [-0.16378784  0.07363892]
 [-0.16769409  0.12051392]
 [-0.16964722  0.18496704]
 [-0.11495972  0.06387329]
 [-0.11495972  0.12051392]
 [-0.06417847  0.16738892]
 [-0.06417847  0.26309204]
 [-0.06417847  0.29434204]
 [-0.17941284  0.26895142]]","[[0.19082642 0.36547852]
 [0.08731079 0.41235352]
 [0.13418579 0.41235352]
 [0.18496704 0.39086914]
 [0.24160767 0.32250977]
 [0.06777954 0.50024414]
 [0.12051392 0.50024414]
 [0.16348267 0.52172852]
 [0.07363892 0.49438477]
 [0.12051392 0.49829102]
 [0.18496704 0.38110352]
 [0.06387329 0.54516602]
 [0.12051392 0.51196289]
 [0.16738892 0.51586914]
 [0.26309204 0.71118164]
 [0.29434204 0.59204102]
 [0.26895142 0.68188477]]","[[-0.11691284  0.36547852]
 [-0.16378784  0.41235352]
 [-0.16769409  0.41235352]
 [-0.16964722  0.39086914]
 [-0.11886597  0.32250977]
 [-0.21456909  0.50024414]
 [-0.16769409  0.50024414]
 [-0.16964722  0.52172852]
 [-0.16378784  0.49438477]
 [-0.16769409  0.49829102]
 [-0.16964722  0.38110352]
 [-0.11495972  0.54516602]
 [-0.11495972  0.51196289]
 [-0.06417847  0.51586914]
 [-0.06417847  0.71118164]
 [-0.06417847  0.59204102]
 [-0.17941284  0.68188477]]"
9,"[[ 0.08621216 -0.38534546]
 [ 0.03933716 -0.39315796]
 [ 0.09402466 -0.39120483]
 [ 0.04519653 -0.30136108]
 [ 0.03933716 -0.33065796]
 [ 0.04129028 -0.31307983]
 [ 0.03933716 -0.31112671]
 [-0.06417847  0.33535767]
 [-0.06417847  0.28848267]
 [-0.06417847  0.33535767]
 [-0.06417847  0.38418579]
 [-0.06417847  0.43496704]
 [-0.06417847  0.29434204]
 [-0.06417847  0.34121704]
 [-0.06417847  0.38809204]
 [-0.21456909  0.09902954]
 [-0.21847534  0.14590454]
 [-0.22238159  0.19277954]
 [-0.16769409  0.14981079]]","[[-0.38534546 -0.95874023]
 [-0.39315796 -1.03491211]
 [-0.39120483 -1.08959961]
 [-0.30136108 -1.07788086]
 [-0.33065796 -0.97631836]
 [-0.31307983 -1.02319336]
 [-0.31112671 -0.95678711]
 [ 0.33535767  0.02954102]
 [ 0.28848267  0.04321289]
 [ 0.33535767  0.03930664]
 [ 0.38418579  0.04907227]
 [ 0.43496704  0.12133789]
 [ 0.29434204  0.21118164]
 [ 0.34121704  0.17211914]
 [ 0.38809204  0.15258789]
 [ 0.09902954  0.26000977]
 [ 0.14590454  0.23852539]
 [ 0.19277954  0.25219727]
 [ 0.14981079  0.14672852]]","[[ 0.08621216 -0.95874023]
 [ 0.03933716 -1.03491211]
 [ 0.09402466 -1.08959961]
 [ 0.04519653 -1.07788086]
 [ 0.03933716 -0.97631836]
 [ 0.04129028 -1.02319336]
 [ 0.03933716 -0.95678711]
 [-0.06417847  0.02954102]
 [-0.06417847  0.04321289]
 [-0.06417847  0.03930664]
 [-0.06417847  0.04907227]
 [-0.06417847  0.12133789]
 [-0.06417847  0.21118164]
 [-0.06417847  0.17211914]
 [-0.06417847  0.15258789]
 [-0.21456909  0.26000977]
 [-0.21847534  0.23852539]
 [-0.22238159  0.25219727]
 [-0.16769409  0.14672852]]"
