,xy,yz,xz
0,"[[ 0.03428819 -0.25520833]
 [ 0.03233507 -0.15950521]
 [ 0.03428819 -0.26497396]
 [ 0.03233507 -0.19661458]
 [ 0.06163194 -0.14973958]
 [ 0.06358507 -0.25520833]
 [ 0.06358507 -0.19075521]
 [-0.03125     0.02929688]
 [ 0.03125    -0.02929688]
 [ 0.          0.        ]
 [-0.10677083  0.01497396]]","[[-0.25520833  0.05164931]
 [-0.15950521 -0.05772569]
 [-0.26497396  0.07313368]
 [-0.19661458  0.06532118]
 [-0.14973958  0.04969618]
 [-0.25520833 -0.02452257]
 [-0.19075521 -0.02647569]
 [ 0.02929688 -0.00097656]
 [-0.02929688  0.00097656]
 [ 0.          0.        ]
 [ 0.01497396 -0.08984375]]","[[ 0.03428819  0.05164931]
 [ 0.03233507 -0.05772569]
 [ 0.03428819  0.07313368]
 [ 0.03233507  0.06532118]
 [ 0.06163194  0.04969618]
 [ 0.06358507 -0.02452257]
 [ 0.06358507 -0.02647569]
 [-0.03125    -0.00097656]
 [ 0.03125     0.00097656]
 [ 0.          0.        ]
 [-0.10677083 -0.08984375]]"
1,"[[-0.11425781  0.27706473]
 [-0.11035156  0.32393973]
 [-0.16503906  0.37472098]
 [-0.17089844  0.27901786]
 [-0.12011719  0.23800223]
 [-0.05957031  0.28292411]
 [-0.11035156  0.33565848]
 [-0.22695312  0.36953125]
 [-0.16835937  0.41640625]
 [-0.16445312  0.46132813]
 [-0.16503906  0.38643973]
 [ 0.33300781 -0.73270089]
 [ 0.31015625 -0.67148437]
 [ 0.30371094 -0.77176339]
 [ 0.24960938 -0.67734375]]","[[ 0.27706473  0.03306362]
 [ 0.32393973  0.02915737]
 [ 0.37472098  0.05064174]
 [ 0.27901786  0.05259487]
 [ 0.23800223 -0.05482701]
 [ 0.28292411 -0.14662388]
 [ 0.33565848 -0.13099888]
 [ 0.36953125  0.09511719]
 [ 0.41640625  0.07753906]
 [ 0.46132813  0.08730469]
 [ 0.38643973 -0.15053013]
 [-0.73270089 -0.00795201]
 [-0.67148437  0.09511719]
 [-0.77176339 -0.00599888]
 [-0.67734375  0.08339844]]","[[-0.11425781  0.03306362]
 [-0.11035156  0.02915737]
 [-0.16503906  0.05064174]
 [-0.17089844  0.05259487]
 [-0.12011719 -0.05482701]
 [-0.05957031 -0.14662388]
 [-0.11035156 -0.13099888]
 [-0.22695312  0.09511719]
 [-0.16835937  0.07753906]
 [-0.16445312  0.08730469]
 [-0.16503906 -0.15053013]
 [ 0.33300781 -0.00795201]
 [ 0.31015625  0.09511719]
 [ 0.30371094 -0.00599888]
 [ 0.24960938  0.08339844]]"
2,"[[-0.22695312  0.40078125]
 [-0.16835937  0.43984375]
 [-0.16445312  0.48867188]
 [-0.01888021  0.00455729]
 [ 0.03580729 -0.04622396]
 [ 0.          0.        ]
 [ 0.03971354  0.01236979]
 [ 0.17890625 -0.334375  ]
 [ 0.1515625  -0.3421875 ]
 [ 0.18085937 -0.41640625]
 [ 0.21015625 -0.3265625 ]]","[[ 0.40078125 -0.12949219]
 [ 0.43984375 -0.08066406]
 [ 0.48867188 -0.10019531]
 [ 0.00455729  0.05143229]
 [-0.04622396  0.05338542]
 [ 0.          0.        ]
 [ 0.01236979 -0.08528646]
 [-0.334375    0.04179688]
 [-0.3421875  -0.0734375 ]
 [-0.41640625  0.08671875]
 [-0.3265625  -0.07929687]]","[[-0.22695312 -0.12949219]
 [-0.16835937 -0.08066406]
 [-0.16445312 -0.10019531]
 [-0.01888021  0.05143229]
 [ 0.03580729  0.05338542]
 [ 0.          0.        ]
 [ 0.03971354 -0.08528646]
 [ 0.17890625  0.04179688]
 [ 0.1515625  -0.0734375 ]
 [ 0.18085937  0.08671875]
 [ 0.21015625 -0.07929687]]"
3,"[[-0.07087054  0.26925223]
 [-0.12165179  0.32393973]
 [-0.11774554  0.36886161]
 [ 0.05444336  0.48535156]
 [ 0.05834961  0.52636719]
 [ 0.05834961  0.53417969]
 [ 0.04794034 -0.01367188]
 [ 0.04794034  0.03320312]
 [ 0.04794034  0.08007812]]","[[ 0.26925223 -0.10100446]
 [ 0.32393973 -0.16936384]
 [ 0.36886161 -0.09905134]
 [ 0.48535156  0.35327148]
 [ 0.52636719  0.43920898]
 [ 0.53417969  0.28686523]
 [-0.01367188  0.13884943]
 [ 0.03320312  0.11345881]
 [ 0.08007812  0.11541193]]","[[-0.07087054 -0.10100446]
 [-0.12165179 -0.16936384]
 [-0.11774554 -0.09905134]
 [ 0.05444336  0.35327148]
 [ 0.05834961  0.43920898]
 [ 0.05834961  0.28686523]
 [ 0.04794034  0.13884943]
 [ 0.04794034  0.11345881]
 [ 0.04794034  0.11541193]]"
4,"[[-0.12784091  0.00976562]
 [ 0.04794034  0.078125  ]
 [-0.01065341 -0.0078125 ]
 [-0.12393466 -0.06445312]
 [-0.06924716  0.00390625]
 [ 0.04794034  0.0625    ]
 [-0.02734375  0.00276693]
 [-0.02734375  0.05354818]
 [-0.02734375 -0.00309245]
 [-0.02734375  0.05159505]
 [ 0.02929688  0.00472005]
 [ 0.08789062  0.00276693]
 [-0.12393466 -0.09570312]
 [-0.1484375   0.09651693]
 [ 0.08398438 -0.0538737 ]]","[[ 0.00976562 -0.04279119]
 [ 0.078125    0.07244318]
 [-0.0078125  -0.18341619]
 [-0.06445312 -0.19513494]
 [ 0.00390625 -0.11310369]
 [ 0.0625     -0.06818182]
 [ 0.00276693  0.04003906]
 [ 0.05354818 -0.06933594]
 [-0.00309245  0.09277344]
 [ 0.05159505 -0.00292969]
 [ 0.00472005 -0.18066406]
 [ 0.00276693 -0.11230469]
 [-0.09570312 -0.31232244]
 [ 0.09651693 -0.08105469]
 [-0.0538737   0.09277344]]","[[-0.12784091 -0.04279119]
 [ 0.04794034  0.07244318]
 [-0.01065341 -0.18341619]
 [-0.12393466 -0.19513494]
 [-0.06924716 -0.11310369]
 [ 0.04794034 -0.06818182]
 [-0.02734375  0.04003906]
 [-0.02734375 -0.06933594]
 [-0.02734375  0.09277344]
 [-0.02734375 -0.00292969]
 [ 0.02929688 -0.18066406]
 [ 0.08789062 -0.11230469]
 [-0.12393466 -0.31232244]
 [-0.1484375  -0.08105469]
 [ 0.08398438  0.09277344]]"
5,"[[-0.02734375  0.05354818]
 [ 0.08398438 -0.07340495]
 [-0.02734375  0.00276693]
 [-0.02734375  0.05354818]
 [-0.02734375 -0.00309245]
 [-0.02734375  0.05159505]
 [ 0.02929688  0.00472005]
 [ 0.08398438 -0.0538737 ]
 [-0.02734375  0.05354818]
 [-0.01787861  0.01382212]
 [-0.01592548  0.06655649]
 [-0.07451923  0.11343149]
 [-0.01983173 -0.11899038]
 [ 0.03680889 -0.06039663]
 [-0.02734375  0.0398763 ]
 [-0.1484375   0.09651693]
 [ 0.08789062  0.00276693]]","[[ 0.05354818 -0.14160156]
 [-0.07340495  0.23535156]
 [ 0.00276693  0.04003906]
 [ 0.05354818 -0.06933594]
 [-0.00309245  0.09277344]
 [ 0.05159505 -0.00292969]
 [ 0.00472005 -0.18066406]
 [-0.0538737   0.09277344]
 [ 0.05354818 -0.14160156]
 [ 0.01382212 -0.26382212]
 [ 0.06655649 -0.14272837]
 [ 0.11343149 -0.11929087]
 [-0.11899038  0.26938101]
 [-0.06039663  0.20492788]
 [ 0.0398763  -0.32128906]
 [ 0.09651693 -0.08105469]
 [ 0.00276693 -0.11230469]]","[[-0.02734375 -0.14160156]
 [ 0.08398438  0.23535156]
 [-0.02734375  0.04003906]
 [-0.02734375 -0.06933594]
 [-0.02734375  0.09277344]
 [-0.02734375 -0.00292969]
 [ 0.02929688 -0.18066406]
 [ 0.08398438  0.09277344]
 [-0.02734375 -0.14160156]
 [-0.01787861 -0.26382212]
 [-0.01592548 -0.14272837]
 [-0.07451923 -0.11929087]
 [-0.01983173  0.26938101]
 [ 0.03680889  0.20492788]
 [-0.02734375 -0.32128906]
 [-0.1484375  -0.08105469]
 [ 0.08789062 -0.11230469]]"
6,"[[-0.01787861 -0.03305288]
 [ 0.04266827  0.06069712]
 [-0.01983173 -0.08774038]
 [ 0.03680889 -0.05063101]
 [ 0.04266827  0.05483774]
 [ 0.04657452  0.10366587]
 [ 0.0063151   0.03268229]
 [ 0.06295573  0.07174479]
 [ 0.06686198  0.14010417]
 [ 0.0610026   0.00924479]
 [ 0.06295573  0.06979167]
 [ 0.06686198  0.13424479]
 [ 0.03485577 -0.07797476]
 [ 0.1860026   0.17526042]]","[[-0.03305288  0.01742788]
 [ 0.06069712 -0.00796274]
 [-0.08774038  0.09555288]
 [-0.05063101  0.14242788]
 [ 0.05483774  0.06039663]
 [ 0.10366587  0.03500601]
 [ 0.03268229  0.2078776 ]
 [ 0.07174479  0.23522135]
 [ 0.14010417  0.12584635]
 [ 0.00924479  0.3016276 ]
 [ 0.06979167  0.24889323]
 [ 0.13424479  0.16490885]
 [-0.07797476 -0.04897837]
 [ 0.17526042  0.13365885]]","[[-0.01787861  0.01742788]
 [ 0.04266827 -0.00796274]
 [-0.01983173  0.09555288]
 [ 0.03680889  0.14242788]
 [ 0.04266827  0.06039663]
 [ 0.04657452  0.03500601]
 [ 0.0063151   0.2078776 ]
 [ 0.06295573  0.23522135]
 [ 0.06686198  0.12584635]
 [ 0.0610026   0.3016276 ]
 [ 0.06295573  0.24889323]
 [ 0.06686198  0.16490885]
 [ 0.03485577 -0.04897837]
 [ 0.1860026   0.13365885]]"
7,"[[0.0610026  0.00338542]
 [0.06295573 0.03854167]
 [0.06686198 0.11276042]
 [0.0688151  0.17916667]
 [0.0610026  0.06393229]
 [0.06295573 0.10885417]
 [0.1235026  0.15377604]
 [0.0610026  0.05221354]
 [0.06295573 0.09908854]
 [0.1235026  0.14986979]
 [0.12740885 0.20260417]
 [0.1313151  0.25143229]
 [0.0688151  0.20846354]]","[[ 0.00338542  0.32115885]
 [ 0.03854167  0.36803385]
 [ 0.11276042  0.26842448]
 [ 0.17916667  0.18053385]
 [ 0.06393229 -0.03040365]
 [ 0.10885417  0.00670573]
 [ 0.15377604 -0.03821615]
 [ 0.05221354  0.08483073]
 [ 0.09908854  0.08483073]
 [ 0.14986979  0.00670573]
 [ 0.20260417 -0.05384115]
 [ 0.25143229 -0.11048177]
 [ 0.20846354 -0.19446615]]","[[ 0.0610026   0.32115885]
 [ 0.06295573  0.36803385]
 [ 0.06686198  0.26842448]
 [ 0.0688151   0.18053385]
 [ 0.0610026  -0.03040365]
 [ 0.06295573  0.00670573]
 [ 0.1235026  -0.03821615]
 [ 0.0610026   0.08483073]
 [ 0.06295573  0.08483073]
 [ 0.1235026   0.00670573]
 [ 0.12740885 -0.05384115]
 [ 0.1313151  -0.11048177]
 [ 0.0688151  -0.19446615]]"
8,"[[ 0.01049805 -0.05102539]
 [ 0.01245117 -0.00415039]
 [-0.04223633  0.05249023]
 [-0.09887695  0.10131836]
 [ 0.0690918   0.00366211]
 [ 0.07299805  0.05053711]
 [ 0.01049805 -0.04907227]
 [ 0.01245117 -0.00024414]
 [ 0.01635742  0.04858398]
 [ 0.01831055  0.09741211]
 [ 0.0769043   0.07788086]
 [-0.04418945 -0.11352539]
 [ 0.01245117 -0.07055664]
 [ 0.01635742 -0.03149414]
 [-0.09887695 -0.07641602]]","[[-5.10253906e-02 -4.13818359e-02]
 [-4.15039062e-03 -3.55224609e-02]
 [ 5.24902344e-02 -9.21630859e-02]
 [ 1.01318359e-01 -9.99755859e-02]
 [ 3.66210938e-03 -1.76147461e-01]
 [ 5.05371094e-02 -1.85913086e-01]
 [-4.90722656e-02 -5.11474609e-02]
 [-2.44140625e-04 -6.87255859e-02]
 [ 4.85839844e-02 -8.04443359e-02]
 [ 9.74121094e-02 -1.05834961e-01]
 [ 7.78808594e-02  2.69775391e-02]
 [-1.13525391e-01  2.57446289e-01]
 [-7.05566406e-02  2.71118164e-01]
 [-3.14941406e-02  3.02368164e-01]
 [-7.64160156e-02  2.98461914e-01]]","[[ 0.01049805 -0.04138184]
 [ 0.01245117 -0.03552246]
 [-0.04223633 -0.09216309]
 [-0.09887695 -0.09997559]
 [ 0.0690918  -0.17614746]
 [ 0.07299805 -0.18591309]
 [ 0.01049805 -0.05114746]
 [ 0.01245117 -0.06872559]
 [ 0.01635742 -0.08044434]
 [ 0.01831055 -0.10583496]
 [ 0.0769043   0.02697754]
 [-0.04418945  0.25744629]
 [ 0.01245117  0.27111816]
 [ 0.01635742  0.30236816]
 [-0.09887695  0.29846191]]"
9,"[[0.14026989 0.28275923]
 [0.08753551 0.33158736]
 [0.14026989 0.28275923]
 [0.14417614 0.32963423]
 [0.20081676 0.31791548]
 [0.20667614 0.36283736]
 [0.21253551 0.40971236]
 [0.08753551 0.32572798]
 [0.08362926 0.27299361]
 [0.02894176 0.27494673]
 [0.13441051 0.21635298]]","[[ 0.28275923 -0.00692472]
 [ 0.33158736  0.01651278]
 [ 0.28275923 -0.09481534]
 [ 0.32963423 -0.04208097]
 [ 0.31791548 -0.21200284]
 [ 0.36283736 -0.21981534]
 [ 0.40971236 -0.23739347]
 [ 0.32572798 -0.24911222]
 [ 0.27299361  0.16299716]
 [ 0.27494673  0.15323153]
 [ 0.21635298  0.18838778]]","[[ 0.14026989 -0.00692472]
 [ 0.08753551  0.01651278]
 [ 0.14026989 -0.09481534]
 [ 0.14417614 -0.04208097]
 [ 0.20081676 -0.21200284]
 [ 0.20667614 -0.21981534]
 [ 0.21253551 -0.23739347]
 [ 0.08753551 -0.24911222]
 [ 0.08362926  0.16299716]
 [ 0.02894176  0.15323153]
 [ 0.13441051  0.18838778]]"
