,xy,yz,xz
0,"[[ 0.02636719 -0.04443359]
 [-0.02636719 -0.00537109]
 [ 0.02636719  0.00244141]
 [-0.02636719  0.04736328]
 [ 0.02636719 -0.04443359]
 [-0.02636719 -0.00537109]
 [ 0.02636719  0.00244141]
 [-0.02636719  0.04736328]
 [-0.02265625 -0.0640625 ]
 [ 0.03398437 -0.02109375]
 [-0.02265625  0.03554688]
 [-0.02265625  0.00039063]
 [ 0.03398437  0.04921875]
 [-0.00097656 -0.015625  ]
 [ 0.00097656  0.015625  ]]","[[-0.04443359  0.10888672]
 [-0.00537109  0.15576172]
 [ 0.00244141 -0.15283203]
 [ 0.04736328 -0.11181641]
 [-0.04443359  0.10888672]
 [-0.00537109  0.15576172]
 [ 0.00244141 -0.15283203]
 [ 0.04736328 -0.11181641]
 [-0.0640625   0.08046875]
 [-0.02109375  0.10585938]
 [ 0.03554688  0.05507813]
 [ 0.00039063 -0.07382812]
 [ 0.04921875 -0.16757812]
 [-0.015625   -0.05761719]
 [ 0.015625    0.05761719]]","[[ 0.02636719  0.10888672]
 [-0.02636719  0.15576172]
 [ 0.02636719 -0.15283203]
 [-0.02636719 -0.11181641]
 [ 0.02636719  0.10888672]
 [-0.02636719  0.15576172]
 [ 0.02636719 -0.15283203]
 [-0.02636719 -0.11181641]
 [-0.02265625  0.08046875]
 [ 0.03398437  0.10585938]
 [-0.02265625  0.05507813]
 [-0.02265625 -0.07382812]
 [ 0.03398437 -0.16757812]
 [-0.00097656 -0.05761719]
 [ 0.00097656  0.05761719]]"
1,"[[-0.00130208 -0.02799479]
 [ 0.00260417  0.03059896]
 [ 0.          0.        ]
 [ 0.15755208 -0.36783854]
 [ 0.18489583 -0.32486979]
 [ 0.19140625 -0.41471354]
 [ 0.16015625 -0.32096354]]","[[-0.02799479  0.12109375]
 [ 0.03059896  0.046875  ]
 [ 0.          0.        ]
 [-0.36783854  0.04492188]
 [-0.32486979  0.03320312]
 [-0.41471354  0.13606771]
 [-0.32096354  0.12825521]]","[[-0.00130208  0.12109375]
 [ 0.00260417  0.046875  ]
 [ 0.          0.        ]
 [ 0.15755208  0.04492188]
 [ 0.18489583  0.03320312]
 [ 0.19140625  0.13606771]
 [ 0.16015625  0.12825521]]"
2,"[[-0.04335938 -0.00585938]
 [-0.04335938  0.04101562]
 [ 0.06210937 -0.06054688]
 [ 0.06796875 -0.01171875]
 [ 0.          0.        ]
 [-0.02734375 -0.0078125 ]
 [ 0.02734375  0.0078125 ]
 [-0.04335938  0.03710938]]","[[-0.00585938  0.05039063]
 [ 0.04101562  0.03671875]
 [-0.06054688  0.06210938]
 [-0.01171875 -0.00429687]
 [ 0.          0.        ]
 [-0.0078125   0.046875  ]
 [ 0.0078125  -0.046875  ]
 [ 0.03710938 -0.14492188]]","[[-0.04335938  0.05039063]
 [-0.04335938  0.03671875]
 [ 0.06210937  0.06210938]
 [ 0.06796875 -0.00429687]
 [ 0.          0.        ]
 [-0.02734375  0.046875  ]
 [ 0.02734375 -0.046875  ]
 [-0.04335938 -0.14492188]]"
3,"[[ 0.79965049 -1.1795847 ]
 [ 0.83871299 -1.1795847 ]
 [ 0.71566612 -1.1795847 ]
 [-0.20816201  0.59775905]
 [-0.26480263  0.63877467]
 [-0.20816201  0.68174342]
 [-0.26480263  0.59971217]
 [-0.20816201  0.64658717]
 [-0.20816201  0.68369655]
 [-0.20816201  0.6016653 ]
 [-0.20816201  0.6485403 ]]","[[-1.1795847   1.29636102]
 [-1.1795847   1.33737664]
 [-1.1795847   1.29440789]
 [ 0.59775905 -0.58059211]
 [ 0.63877467 -0.64113898]
 [ 0.68174342 -0.69582648]
 [ 0.59971217 -0.53176398]
 [ 0.64658717 -0.53567023]
 [ 0.68369655 -0.66848273]
 [ 0.6016653  -0.48293586]
 [ 0.6485403  -0.45363898]]","[[ 0.79965049  1.29636102]
 [ 0.83871299  1.33737664]
 [ 0.71566612  1.29440789]
 [-0.20816201 -0.58059211]
 [-0.26480263 -0.64113898]
 [-0.20816201 -0.69582648]
 [-0.26480263 -0.53176398]
 [-0.20816201 -0.53567023]
 [-0.20816201 -0.66848273]
 [-0.20816201 -0.48293586]
 [-0.20816201 -0.45363898]]"
4,"[[-0.18865412  0.35342685]
 [-0.18865412  0.40616122]
 [-0.18865412  0.45498935]
 [-0.18865412  0.33194247]
 [-0.18865412  0.37881747]
 [-0.18865412  0.42373935]
 [-0.18865412  0.47061435]
 [-0.18865412  0.51748935]
 [-0.18865412  0.3807706 ]
 [-0.24529474  0.4276456 ]
 [-0.18865412  0.47647372]
 [-0.18865412  0.51944247]]","[[ 0.35342685 -0.6270419 ]
 [ 0.40616122 -0.6036044 ]
 [ 0.45498935 -0.59383878]
 [ 0.33194247 -0.4473544 ]
 [ 0.37881747 -0.4473544 ]
 [ 0.42373935 -0.4551669 ]
 [ 0.47061435 -0.45907315]
 [ 0.51748935 -0.46688565]
 [ 0.3807706  -0.4082919 ]
 [ 0.4276456  -0.41415128]
 [ 0.47647372 -0.38680753]
 [ 0.51944247 -0.43563565]]","[[-0.18865412 -0.6270419 ]
 [-0.18865412 -0.6036044 ]
 [-0.18865412 -0.59383878]
 [-0.18865412 -0.4473544 ]
 [-0.18865412 -0.4473544 ]
 [-0.18865412 -0.4551669 ]
 [-0.18865412 -0.45907315]
 [-0.18865412 -0.46688565]
 [-0.18865412 -0.4082919 ]
 [-0.24529474 -0.41415128]
 [-0.18865412 -0.38680753]
 [-0.18865412 -0.43563565]]"
5,"[[0.05840774 0.13383557]
 [0.05840774 0.17485119]
 [0.05840774 0.22172619]
 [0.05840774 0.18461682]
 [0.05840774 0.23149182]]","[[ 0.13383557 -0.14174107]
 [ 0.17485119 -0.19252232]
 [ 0.22172619 -0.20033482]
 [ 0.18461682 -0.11439732]
 [ 0.23149182 -0.11049107]]","[[ 0.05840774 -0.14174107]
 [ 0.05840774 -0.19252232]
 [ 0.05840774 -0.20033482]
 [ 0.05840774 -0.11439732]
 [ 0.05840774 -0.11049107]]"
6,"[[0.05840774 0.22953869]
 [0.05840774 0.28422619]
 [0.00176711 0.13969494]
 [0.00176711 0.19242932]
 [0.05840774 0.24125744]
 [0.05840774 0.28813244]
 [0.05840774 0.16899182]
 [0.16778274 0.08305432]
 [0.22051711 0.08305432]
 [0.16973586 0.11039807]]","[[ 0.22953869 -0.1358817 ]
 [ 0.28422619 -0.0343192 ]
 [ 0.13969494 -0.0811942 ]
 [ 0.19242932 -0.01283482]
 [ 0.24125744  0.0203683 ]
 [ 0.28813244  0.0281808 ]
 [ 0.16899182 -0.23158482]
 [ 0.08305432  0.29771205]
 [ 0.08305432  0.2547433 ]
 [ 0.11039807  0.4188058 ]]","[[ 0.05840774 -0.1358817 ]
 [ 0.05840774 -0.0343192 ]
 [ 0.00176711 -0.0811942 ]
 [ 0.00176711 -0.01283482]
 [ 0.05840774  0.0203683 ]
 [ 0.05840774  0.0281808 ]
 [ 0.05840774 -0.23158482]
 [ 0.16778274  0.29771205]
 [ 0.22051711  0.2547433 ]
 [ 0.16973586  0.4188058 ]]"
7,"[[ 0.03732639  0.03700087]
 [ 0.03732639  0.08192274]
 [ 0.03732639  0.12684462]
 [-0.01931424  0.07996962]
 [ 0.03732639  0.13075087]
 [ 0.03732639  0.02723524]
 [-0.01931424  0.08192274]
 [-0.07986111  0.12684462]
 [-0.01931424  0.08192274]]","[[ 0.03700087  0.09711372]
 [ 0.08192274  0.05023872]
 [ 0.12684462  0.00922309]
 [ 0.07996962  0.00336372]
 [ 0.13075087  0.05609809]
 [ 0.02723524 -0.06304253]
 [ 0.08192274  0.07367622]
 [ 0.12684462  0.06781684]
 [ 0.08192274  0.02875434]]","[[ 0.03732639  0.09711372]
 [ 0.03732639  0.05023872]
 [ 0.03732639  0.00922309]
 [-0.01931424  0.00336372]
 [ 0.03732639  0.05609809]
 [ 0.03732639 -0.06304253]
 [-0.01931424  0.07367622]
 [-0.07986111  0.06781684]
 [-0.01931424  0.02875434]]"
8,"[[-0.00252757 -0.04526654]
 [-0.00252757 -0.00034467]
 [-0.00252757  0.04653033]
 [-0.00252757 -0.04721967]
 [-0.00252757  0.00160846]
 [-0.00252757  0.04848346]
 [-0.0591682   0.00160846]
 [-0.06112132  0.04457721]]","[[-0.04526654 -0.05778952]
 [-0.00034467 -0.09685202]
 [ 0.04653033 -0.07732077]
 [-0.04721967  0.08674173]
 [ 0.00160846 -0.01091452]
 [ 0.04848346  0.05744485]
 [ 0.00160846  0.01642923]
 [ 0.04457721 -0.11443015]]","[[-0.00252757 -0.05778952]
 [-0.00252757 -0.09685202]
 [-0.00252757 -0.07732077]
 [-0.00252757  0.08674173]
 [-0.00252757 -0.01091452]
 [-0.00252757  0.05744485]
 [-0.0591682   0.01642923]
 [-0.06112132 -0.11443015]]"
9,"[[-0.00252757  0.09145221]
 [-0.00252757  0.04848346]
 [ 0.04045759  0.01227679]
 [-0.01618304  0.06110491]
 [-0.01618304  0.01813616]
 [-0.07477679  0.05329241]
 [-0.07477679  0.06110491]
 [ 0.05215993 -0.10190717]
 [-0.01618304 -0.03459821]
 [-0.01618304 -0.03850446]
 [-0.01618304  0.01422991]
 [ 0.10880055 -0.06284467]
 [-0.01618304 -0.09905134]]","[[ 0.09145221 -0.13005515]
 [ 0.04848346 -0.04997702]
 [ 0.01227679 -0.10491071]
 [ 0.06110491 -0.10100446]
 [ 0.01813616 -0.01311384]
 [ 0.05329241 -0.17717634]
 [ 0.06110491 -0.08537946]
 [-0.10190717  0.18439798]
 [-0.03459821  0.18219866]
 [-0.03850446  0.21344866]
 [ 0.01422991  0.16071429]
 [-0.06284467  0.2254136 ]
 [-0.09905134  0.32087054]]","[[-0.00252757 -0.13005515]
 [-0.00252757 -0.04997702]
 [ 0.04045759 -0.10491071]
 [-0.01618304 -0.10100446]
 [-0.01618304 -0.01311384]
 [-0.07477679 -0.17717634]
 [-0.07477679 -0.08537946]
 [ 0.05215993  0.18439798]
 [-0.01618304  0.18219866]
 [-0.01618304  0.21344866]
 [-0.01618304  0.16071429]
 [ 0.10880055  0.2254136 ]
 [-0.01618304  0.32087054]]"
