,xy,yz,xz
0,"[[ 0.04319853  0.0066636 ]
 [ 0.07664063  0.02265625]
 [ 0.07664063  0.03046875]
 [-0.00758272  0.04767923]
 [ 0.0412454  -0.03630515]
 [-0.00758272  0.00861673]
 [ 0.0412454  -0.04997702]
 [ 0.09202665 -0.0089614 ]
 [ 0.07859375  0.06367188]
 [ 0.12742187  0.07539063]
 [ 0.02976563  0.07929688]]","[[ 0.0066636  -0.01884191]
 [ 0.02265625 -0.09445312]
 [ 0.03046875 -0.01828125]
 [ 0.04767923 -0.06571691]
 [-0.03630515  0.03193934]
 [ 0.00861673 -0.00907629]
 [-0.04997702 -0.09110754]
 [-0.0089614  -0.11649816]
 [ 0.06367188 -0.1471875 ]
 [ 0.07539063 -0.0221875 ]
 [ 0.07929688  0.00320313]]","[[ 0.04319853 -0.01884191]
 [ 0.07664063 -0.09445312]
 [ 0.07664063 -0.01828125]
 [-0.00758272 -0.06571691]
 [ 0.0412454   0.03193934]
 [-0.00758272 -0.00907629]
 [ 0.0412454  -0.09110754]
 [ 0.09202665 -0.11649816]
 [ 0.07859375 -0.1471875 ]
 [ 0.12742187 -0.0221875 ]
 [ 0.02976563  0.00320313]]"
1,"[[ 0.03749151  0.08143682]
 [ 0.03553838 -0.01036005]
 [-0.01524287  0.03651495]
 [-0.01524287  0.08338995]
 [-0.01524287  0.13026495]
 [-0.01524287 -0.01231318]
 [ 0.03553838  0.03456182]
 [-0.01524287  0.0326087 ]
 [-0.01524287  0.0794837 ]
 [-0.01524287  0.13026495]]","[[ 0.08143682  0.07256284]
 [-0.01036005  0.00420346]
 [ 0.03651495  0.00029721]
 [ 0.08338995 -0.01142154]
 [ 0.13026495 -0.00360904]
 [-0.01231318  0.11162534]
 [ 0.03456182  0.09600034]
 [ 0.0326087   0.14482846]
 [ 0.0794837   0.12725034]
 [ 0.13026495  0.06475034]]","[[ 0.03749151  0.07256284]
 [ 0.03553838  0.00420346]
 [-0.01524287  0.00029721]
 [-0.01524287 -0.01142154]
 [-0.01524287 -0.00360904]
 [-0.01524287  0.11162534]
 [ 0.03553838  0.09600034]
 [-0.01524287  0.14482846]
 [-0.01524287  0.12725034]
 [-0.01524287  0.06475034]]"
2,"[[ 0.02485352  0.16977539]
 [ 0.02094727  0.07993164]
 [-0.02983398  0.08774414]
 [ 0.07563477  0.13657227]
 [ 0.02094727  0.04672852]
 [ 0.02290039  0.13266602]
 [ 0.07954102  0.17368164]
 [-0.02983398  0.06430664]
 [-0.02983398  0.10922852]
 [ 0.02485352  0.15219727]
 [-0.02983398  0.12290039]
 [ 0.02485352  0.14633789]]","[[0.16977539 0.42446289]
 [0.07993164 0.39516602]
 [0.08774414 0.35024414]
 [0.13657227 0.31899414]
 [0.04672852 0.29165039]
 [0.13266602 0.35805664]
 [0.17368164 0.38149414]
 [0.06430664 0.47719727]
 [0.10922852 0.48891602]
 [0.15219727 0.50844727]
 [0.12290039 0.42446289]
 [0.14633789 0.52797852]]","[[ 0.02485352  0.42446289]
 [ 0.02094727  0.39516602]
 [-0.02983398  0.35024414]
 [ 0.07563477  0.31899414]
 [ 0.02094727  0.29165039]
 [ 0.02290039  0.35805664]
 [ 0.07954102  0.38149414]
 [-0.02983398  0.47719727]
 [-0.02983398  0.48891602]
 [ 0.02485352  0.50844727]
 [-0.02983398  0.42446289]
 [ 0.02485352  0.52797852]]"
3,"[[ 0.05007595 -0.03949653]
 [ 0.10281033 -0.03559028]
 [ 0.05007595 -0.04340278]
 [-0.0085178  -0.11762153]
 [-0.00656467 -0.0687934 ]
 [ 0.05202908  0.01128472]
 [ 0.15749783 -0.02387153]
 [ 0.1086697   0.0171441 ]
 [ 0.04421658 -0.1156684 ]
 [ 0.15163845 -0.09027778]
 [ 0.1633572  -0.00824653]]","[[-0.03949653  0.26171875]
 [-0.03559028  0.23828125]
 [-0.04340278  0.28125   ]
 [-0.11762153  0.20703125]
 [-0.0687934   0.19921875]
 [ 0.01128472  0.2578125 ]
 [-0.02387153  0.15820312]
 [ 0.0171441   0.2109375 ]
 [-0.1156684   0.18164062]
 [-0.09027778  0.234375  ]
 [-0.00824653  0.28515625]]","[[ 0.05007595  0.26171875]
 [ 0.10281033  0.23828125]
 [ 0.05007595  0.28125   ]
 [-0.0085178   0.20703125]
 [-0.00656467  0.19921875]
 [ 0.05202908  0.2578125 ]
 [ 0.15749783  0.15820312]
 [ 0.1086697   0.2109375 ]
 [ 0.04421658  0.18164062]
 [ 0.15163845  0.234375  ]
 [ 0.1633572   0.28515625]]"
4,"[[ 0.05007595 -0.03949653]
 [ 0.10281033 -0.03559028]
 [ 0.05007595 -0.04340278]
 [-0.0085178  -0.11762153]
 [-0.00656467 -0.0687934 ]
 [ 0.05202908  0.01128472]
 [ 0.15749783 -0.02387153]
 [ 0.1086697   0.0171441 ]
 [ 0.04421658 -0.1156684 ]
 [ 0.15163845 -0.09027778]
 [ 0.1633572  -0.00824653]]","[[-0.03949653  0.26171875]
 [-0.03559028  0.23828125]
 [-0.04340278  0.28125   ]
 [-0.11762153  0.20703125]
 [-0.0687934   0.19921875]
 [ 0.01128472  0.2578125 ]
 [-0.02387153  0.15820312]
 [ 0.0171441   0.2109375 ]
 [-0.1156684   0.18164062]
 [-0.09027778  0.234375  ]
 [-0.00824653  0.28515625]]","[[ 0.05007595  0.26171875]
 [ 0.10281033  0.23828125]
 [ 0.05007595  0.28125   ]
 [-0.0085178   0.20703125]
 [-0.00656467  0.19921875]
 [ 0.05202908  0.2578125 ]
 [ 0.15749783  0.15820312]
 [ 0.1086697   0.2109375 ]
 [ 0.04421658  0.18164062]
 [ 0.15163845  0.234375  ]
 [ 0.1633572   0.28515625]]"
5,"[[ 0.00767299  0.08858817]
 [-0.00209263 -0.00711496]
 [-0.05092076  0.04171317]
 [ 0.00767299  0.08272879]
 [-0.00209263 -0.02469308]
 [ 0.00181362  0.02413504]
 [ 0.00181362  0.02022879]
 [-0.05678013 -0.03445871]
 [-0.00209263  0.00851004]
 [-0.05092076  0.05538504]
 [-0.05678013 -0.05008371]
 [-0.05678013 -0.06766183]
 [ 0.00767299  0.07686942]
 [ 0.01157924  0.12960379]
 [-0.00209263 -0.04422433]]","[[ 0.08858817  0.21735491]
 [-0.00711496  0.21540179]
 [ 0.04171317  0.23102679]
 [ 0.08272879  0.24469866]
 [-0.02469308  0.29547991]
 [ 0.02413504  0.28962054]
 [ 0.02022879  0.30329241]
 [-0.03445871  0.12751116]
 [ 0.00851004  0.13141741]
 [ 0.05538504  0.16071429]
 [-0.05008371  0.20954241]
 [-0.06766183  0.28962054]
 [ 0.07686942  0.27204241]
 [ 0.12960379  0.24274554]
 [-0.04422433  0.36383929]]","[[ 0.00767299  0.21735491]
 [-0.00209263  0.21540179]
 [-0.05092076  0.23102679]
 [ 0.00767299  0.24469866]
 [-0.00209263  0.29547991]
 [ 0.00181362  0.28962054]
 [ 0.00181362  0.30329241]
 [-0.05678013  0.12751116]
 [-0.00209263  0.13141741]
 [-0.05092076  0.16071429]
 [-0.05678013  0.20954241]
 [-0.05678013  0.28962054]
 [ 0.00767299  0.27204241]
 [ 0.01157924  0.24274554]
 [-0.00209263  0.36383929]]"
6,"[[-0.00292969 -0.04003906]
 [-0.01442308 -0.09930889]
 [ 0.0383113  -0.10321514]
 [-0.01246995 -0.04071514]
 [-0.06715745  0.05889423]
 [ 0.0383113  -0.11298077]
 [-0.05761719 -0.05371094]
 [-0.05761719  0.01269531]
 [-0.00488281 -0.08496094]
 [ 0.00097656  0.01464844]]","[[-0.04003906  0.10498047]
 [-0.09930889  0.14227764]
 [-0.10321514  0.15009014]
 [-0.04071514  0.08563702]
 [ 0.05889423  0.06610577]
 [-0.11298077  0.19305889]
 [-0.05371094  0.17333984]
 [ 0.01269531  0.09326172]
 [-0.08496094  0.09130859]
 [ 0.01464844  0.06787109]]","[[-0.00292969  0.10498047]
 [-0.01442308  0.14227764]
 [ 0.0383113   0.15009014]
 [-0.01246995  0.08563702]
 [-0.06715745  0.06610577]
 [ 0.0383113   0.19305889]
 [-0.05761719  0.17333984]
 [-0.05761719  0.09326172]
 [-0.00488281  0.09130859]
 [ 0.00097656  0.06787109]]"
7,"[[ 0.00097656  0.00683594]
 [-0.05761719 -0.05371094]
 [-0.05761719  0.01269531]
 [ 0.00097656  0.01464844]
 [ 0.00097656  0.00683594]
 [-0.03022693  0.04036458]
 [-0.02632068  0.09114583]
 [-0.03218006 -0.01041667]
 [-0.05761719 -0.07324219]
 [-0.00488281 -0.08496094]
 [-0.00292969 -0.04003906]
 [ 0.06152344  0.05957031]
 [-0.05761719 -0.07324219]
 [-0.02436756  0.14583333]
 [-0.03022693  0.01692708]
 [-0.02632068  0.06575521]
 [-0.02436756  0.12434896]]","[[ 0.00683594  0.10302734]
 [-0.05371094  0.17333984]
 [ 0.01269531  0.09326172]
 [ 0.01464844  0.06787109]
 [ 0.00683594  0.10302734]
 [ 0.04036458  0.13095238]
 [ 0.09114583  0.11142113]
 [-0.01041667  0.14462426]
 [-0.07324219  0.24169922]
 [-0.08496094  0.09130859]
 [-0.04003906  0.10498047]
 [ 0.05957031  0.05810547]
 [-0.07324219  0.24169922]
 [ 0.14583333  0.04306176]
 [ 0.01692708  0.24813988]
 [ 0.06575521  0.24813988]
 [ 0.12434896  0.18954613]]","[[ 0.00097656  0.10302734]
 [-0.05761719  0.17333984]
 [-0.05761719  0.09326172]
 [ 0.00097656  0.06787109]
 [ 0.00097656  0.10302734]
 [-0.03022693  0.13095238]
 [-0.02632068  0.11142113]
 [-0.03218006  0.14462426]
 [-0.05761719  0.24169922]
 [-0.00488281  0.09130859]
 [-0.00292969  0.10498047]
 [ 0.06152344  0.05810547]
 [-0.05761719  0.24169922]
 [-0.02436756  0.04306176]
 [-0.03022693  0.24813988]
 [-0.02632068  0.24813988]
 [-0.02436756  0.18954613]]"
8,"[[-0.03363715 -0.04730903]
 [ 0.02105035 -0.05902778]
 [ 0.02105035  0.00347222]
 [ 0.02105035 -0.0141059 ]
 [-0.04029948 -0.07122396]
 [-0.09498698 -0.02825521]
 [-0.04615885  0.02252604]
 [-0.09108073 -0.07903646]
 [-0.0422526  -0.02434896]
 [-0.09889323  0.01861979]]","[[-0.04730903  0.00748698]
 [-0.05902778  0.07584635]
 [ 0.00347222 -0.00813802]
 [-0.0141059   0.0953776 ]
 [-0.07122396 -0.08730469]
 [-0.02825521 -0.07558594]
 [ 0.02252604 -0.07167969]
 [-0.07903646  0.09824219]
 [-0.02434896  0.05332031]
 [ 0.01861979  0.03378906]]","[[-0.03363715  0.00748698]
 [ 0.02105035  0.07584635]
 [ 0.02105035 -0.00813802]
 [ 0.02105035  0.0953776 ]
 [-0.04029948 -0.08730469]
 [-0.09498698 -0.07558594]
 [-0.04615885 -0.07167969]
 [-0.09108073  0.09824219]
 [-0.0422526   0.05332031]
 [-0.09889323  0.03378906]]"
9,"[[-0.15527344  0.18395996]
 [-0.15136719  0.09020996]
 [-0.15332031  0.13513184]
 [-0.15332031  0.13513184]
 [-0.20996094  0.18005371]
 [-0.09863281  0.27575684]
 [-0.15715144  0.12605168]
 [-0.21183894  0.16706731]
 [-0.15715144  0.21394231]
 [-0.15715144  0.26472356]]","[[ 0.18395996 -0.16223145]
 [ 0.09020996 -0.16223145]
 [ 0.13513184 -0.18371582]
 [ 0.13513184 -0.06262207]
 [ 0.18005371 -0.08410645]
 [ 0.27575684 -0.21496582]
 [ 0.12605168 -0.19906851]
 [ 0.16706731 -0.26156851]
 [ 0.21394231 -0.27524038]
 [ 0.26472356 -0.22445913]]","[[-0.15527344 -0.16223145]
 [-0.15136719 -0.16223145]
 [-0.15332031 -0.18371582]
 [-0.15332031 -0.06262207]
 [-0.20996094 -0.08410645]
 [-0.09863281 -0.21496582]
 [-0.15715144 -0.19906851]
 [-0.21183894 -0.26156851]
 [-0.15715144 -0.27524038]
 [-0.15715144 -0.22445913]]"
